OPENMP STRONG SCALABILITY,,,,,,
,,,,,,
,Grid size,Threads,Time [s],Speedup,Efficiency,
,5000,1,42.9,1,1,
,5000,2,22.28,1.92549371633752,0.962746858168761,
,5000,4,11.85,3.62025316455696,0.905063291139241,
,5000,8,6.85,6.26277372262774,0.782846715328467,
,5000,12,5.38,7.97397769516729,0.66449814126394,
,5000,16,4.54,9.44933920704846,0.590583700440529,
,5000,24,3.32,12.921686746988,0.538403614457831,
,5000,32,2.95,14.5423728813559,0.454449152542373,
,5000,48,2.39,17.9497907949791,0.373953974895397,
,5000,64,2.22,19.3243243243243,0.301942567567568,
,5000,96,3.64,11.7857142857143,0.122767857142857,
,5000,128,3.02,14.205298013245,0.110978890728477,
,,,,,,
,10000,1,171.02,1,1,
,10000,2,88.59,1.93046619257253,0.965233096286262,
,10000,4,47.51,3.59966322879394,0.899915807198485,
,10000,8,26.23,6.52001524971407,0.815001906214259,
,10000,12,18.64,9.17489270386266,0.764574391988555,
,10000,16,15.29,11.185088293002,0.699068018312623,
,10000,24,11.84,14.4442567567568,0.601844031531532,
,10000,32,9.94,17.20523138833,0.537663480885312,
,10000,48,8.39,20.3837902264601,0.424662296384585,
,10000,64,7.62,22.4435695538058,0.350680774278215,
,10000,96,9.75,17.5405128205128,0.182713675213675,
,10000,128,9.73,17.5765673175745,0.137316932168551,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MPI WEAK SCALABILITY,,,,,,
,Grid size,Threads,Processes,Time [s],,
,5000,64,1,2.22,,
,7071,64,2,2.47,,
,8660,64,3,2.48,,
,10000,64,4,2.6,,
,11180,64,5,2.85,,
,12247,64,6,2.93,,
,,,,,,
,5000,1,1,42.9,,
,7071,1,2,43.51,,
,8660,1,3,44.22,,
,10000,1,4,44.85,,
,11180,1,5,45.55,,
,12247,1,6,46.23,,
,,,,,,
,,,,,,
,,,,,,
MPI STRONG SCALABILITY,,,,,,
,,,,,,
,Grid size,Threads,Processes,Time [s],Speedup,Efficiency
,5000,64,1,2.22,1,1
,5000,64,2,1.15,1.9304347826087,0.965217391304348
,5000,64,3,0.8,2.775,0.925
,5000,64,4,0.66,3.36363636363636,0.840909090909091
,5000,64,5,0.55,4.03636363636364,0.807272727272727
,5000,64,6,0.48,4.625,0.770833333333334
,,,,,,
,10000,64,1,7.59,1,1
,10000,64,2,4.74,1.60126582278481,0.800632911392405
,10000,64,3,3.24,2.34259259259259,0.780864197530864
,10000,64,4,2.65,2.86415094339623,0.716037735849057
,10000,64,5,2.22,3.41891891891892,0.683783783783784
,10000,64,6,1.95,3.89230769230769,0.648717948717949
,,,,,,
,15000,64,1,16.65,1,1
,15000,64,2,9.45,1.76190476190476,0.880952380952381
,15000,64,3,7.44,2.23790322580645,0.745967741935484
,15000,64,4,5.83,2.85591766723842,0.713979416809605
,15000,64,5,5.32,3.1296992481203,0.62593984962406
,15000,64,6,4.59,3.62745098039216,0.604575163398693
,,,,,,
,20000,64,1,28.64,1,1
,20000,64,2,17.02,1.68272620446534,0.841363102232667
,20000,64,3,12.28,2.33224755700326,0.777415852334419
,20000,64,4,10.04,2.85258964143426,0.713147410358566
,20000,64,5,8.59,3.33410942956927,0.666821885913853
