"threads","type","size","time","Gflops","speedup"
1,"double",15000,"143,198821","47,13726",1
1,"double",15000,"143,656642","46,987037",1
1,"double",15000,"143,952756","46,890384",1
1,"double",15000,"143,663397","46,984828",1
1,"double",15000,"144,108144","46,839823",1
2,"double",15000,"72,019628","93,72445","1,99551089044781"
2,"double",15000,"72,178889","93,517649","1,99110784318113"
2,"double",15000,"72,107208","93,610614","1,99308718207478"
2,"double",15000,"72,234725","93,445361","1,98956875657795"
2,"double",15000,"71,715735","94,121604","2,00396680031237"
4,"double",15000,"36,832678","183,261181","3,90185997336387"
4,"double",15000,"36,881903","183,016585","3,89665229584276"
4,"double",15000,"36,670722","184,070553","3,91909251200454"
4,"double",15000,"36,581486","184,519568","3,92865265232801"
4,"double",15000,"36,646344","184,192997","3,9216995834564"
6,"double",15000,"24,196252","278,968827","5,93959560348438"
6,"double",15000,"24,347264","277,238538","5,90275572647506"
6,"double",15000,"24,237289","278,496491","5,92953906684861"
6,"double",15000,"24,243493","278,425223","5,9280216757544"
6,"double",15000,"24,432581","276,270441","5,88214368346922"
8,"double",15000,"18,834311","358,388468","7,63053939164539"
8,"double",15000,"18,826991","358,527818","7,63350617206966"
8,"double",15000,"18,949631","356,207462","7,58410293055311"
8,"double",15000,"18,893152","357,272303","7,60677477215025"
8,"double",15000,"18,779165","359,440893","7,65294686957594"
12,"double",15000,"12,988647","519,68461","11,0647361499623"
12,"double",15000,"12,964283","520,661279","11,0855302988989"
12,"double",15000,"12,938537","521,697327","11,1075890574027"
12,"double",15000,"12,954286","521,063081","11,0940851545195"
12,"double",15000,"12,926559","522,180718","11,1178815646144"
16,"double",15000,"12,043781","560,455243","11,9327935305366"
16,"double",15000,"12,143543","555,850967","11,8347628859222"
16,"double",15000,"12,005842","562,226296","11,9705016940919"
16,"double",15000,"12,046152","560,344901","11,9304448424692"
16,"double",15000,"12,036716","560,784201","11,9397975328154"
24,"double",15000,"11,401205","592,042662","12,6053300506394"
24,"double",15000,"11,405548","591,817252","12,6005301981106"
24,"double",15000,"11,402641","591,968142","12,6037425891072"
24,"double",15000,"11,573464","583,230729","12,4177127954085"
24,"double",15000,"11,474939","588,238447","12,5243325476501"
32,"double",15000,"11,202044","602,56859","12,8294400557613"
32,"double",15000,"11,107812","607,68044","12,9382773132999"
32,"double",15000,"11,132525","606,331473","12,9095557387026"
32,"double",15000,"11,011878","612,974466","13,0509938450099"
32,"double",15000,"11,289559","597,897569","12,7299881244254"
48,"double",15000,"10,86079","621,501735","13,2325504866589"
48,"double",15000,"10,886894","620,011544","13,2008221996099"
48,"double",15000,"8,958003","753,516142","16,0433025083827"
48,"double",15000,"10,86354","621,344429","13,2292007945845"
48,"double",15000,"10,824242","623,600246","13,2772301284469"
64,"double",15000,"10,944266","616,761338","13,1316208871385"
64,"double",15000,"10,880716","620,363581","13,2083175408677"
64,"double",15000,"11,016066","612,741419","13,0460322223923"
64,"double",15000,"10,957874","615,995379","13,1153134266738"
64,"double",15000,"10,973117","615,139683","13,0970946541443"
