"threads","type","size","time","Gflops","speedup"
1,"double",15000,"141,652858","47,651704",1
1,"double",15000,"141,797147","47,603214",1
1,"double",15000,"141,361539","47,749905",1
1,"double",15000,"141,532761","47,692138",1
1,"double",15000,"142,25302","47,450662",1
2,"double",15000,"70,854583","95,265539","2,00014535404153"
2,"double",15000,"71,534835","94,359622","1,98112520983658"
2,"double",15000,"71,029551","95,03087","1,99521837044979"
2,"double",15000,"71,504668","94,399432","1,98196102385931"
2,"double",15000,"71,216869","94,780915","1,98997045208488"
4,"double",15000,"35,693801","189,108465","3,97042234308417"
4,"double",15000,"35,620832","189,495856","3,97855572267374"
4,"double",15000,"35,694991","189,102164","3,97028997710071"
4,"double",15000,"35,610685","189,549851","3,9796893825547"
4,"double",15000,"35,526092","190,001196","3,9891656250848"
6,"double",15000,"23,696794","284,848659","5,98053327382599"
6,"double",15000,"23,654144","285,362263","5,99131657438122"
6,"double",15000,"23,704959","284,750549","5,97847332281823"
6,"double",15000,"23,706182","284,73585","5,97816489386608"
6,"double",15000,"23,769471","283,977712","5,96224732977861"
8,"double",15000,"18,185861","371,167479","7,7928377985513"
8,"double",15000,"18,091689","373,09949","7,83340156908512"
8,"double",15000,"18,068004","373,588592","7,84367022500106"
8,"double",15000,"18,14638","371,975011","7,80979264183821"
8,"double",15000,"18,085147","373,23445","7,83623517132595"
12,"double",15000,"12,132442","556,359564","11,6810337935265"
12,"double",15000,"12,127912","556,567374","11,6853968762306"
12,"double",15000,"12,162801","554,970857","11,6518773101689"
12,"double",15000,"12,179714","554,2002","11,6356972749935"
12,"double",15000,"12,197414","553,396004","11,6188123974475"
16,"double",15000,"9,397126","718,304747","15,0811498111231"
16,"double",15000,"9,351887","721,779474","15,1541036584381"
16,"double",15000,"9,364401","720,814934","15,1338526617987"
16,"double",15000,"9,346505","722,195108","15,1628298492324"
16,"double",15000,"9,347709","722,102055","15,1608768522854"
24,"double",15000,"7,885764","855,972826","17,9715579872794"
24,"double",15000,"7,975837","846,306164","17,768600963134"
24,"double",15000,"7,95347","848,68619","17,8185703850018"
24,"double",15000,"8,049794","838,530734","17,605353006549"
24,"double",15000,"7,901865","854,228714","17,9349387771115"
32,"double",15000,"7,08275","953,019675","20,0091016907275"
32,"double",15000,"7,115267","948,664339","19,9176594497438"
32,"double",15000,"7,06712","955,127416","20,0533548319542"
32,"double",15000,"7,130225","946,674226","19,8758755859738"
32,"double",15000,"7,136199","945,881734","19,8592366888872"
48,"double",15000,"7,060753","955,988648","20,0714378480595"
48,"double",15000,"7,009318","963,003868","20,218723847313"
48,"double",15000,"7,084825","952,740479","20,003241435039"
48,"double",15000,"7,169321","941,511747","19,7674877439579"
48,"double",15000,"7,214412","935,627191","19,6439384110583"
64,"double",15000,"7,8823","856,349054","17,9794558694797"
64,"double",15000,"7,159734","942,772491","19,7939567307947"
64,"double",15000,"8,045099","839,020135","17,615627228453"
64,"double",15000,"7,85815","858,980789","18,0347110961231"
64,"double",15000,"8,808636","766,293475","16,0886957980782"
