"threads","type","size","time","Gflops","speedup"
1,"double",15000,"143,120753","47,162972",1
1,"double",15000,"143,280434","47,11041",1
1,"double",15000,"143,391768","47,073832",1
1,"double",15000,"143,528258","47,029067",1
1,"double",15000,"143,220739","47,130046",1
2,"double",15000,"77,379748","87,232127","1,85201417818006"
2,"double",15000,"77,832202","86,725029","1,84124805308733"
2,"double",15000,"76,985776","87,678535","1,86149179557533"
2,"double",15000,"77,89848","86,651242","1,83968147260383"
2,"double",15000,"76,823427","87,863823","1,86542563897859"
4,"double",15000,"38,982289","173,155557","3,67624359872762"
4,"double",15000,"39,074314","172,747753","3,66758557552667"
4,"double",15000,"38,628498","174,741458","3,7099136083417"
4,"double",15000,"39,110068","172,589828","3,66423270857008"
4,"double",15000,"38,806861","173,938316","3,6928622080513"
6,"double",15000,"25,396028","265,789595","5,64294504636709"
6,"double",15000,"25,194452","267,916131","5,68809317225872"
6,"double",15000,"25,397055","265,778851","5,6427168583129"
6,"double",15000,"25,382305","265,933295","5,64599591723447"
6,"double",15000,"25,188039","267,98434","5,68954138906963"
8,"double",15000,"19,249396","350,660358","7,44482530257053"
8,"double",15000,"19,264867","350,378741","7,43884660091347"
8,"double",15000,"19,25407","350,575229","7,44301804241908"
8,"double",15000,"19,198042","351,59835","7,46473991462254"
8,"double",15000,"19,266184","350,354805","7,43833809539035"
12,"double",15000,"13,121254","514,432535","10,9218517071615"
12,"double",15000,"13,116119","514,633944","10,926127644923"
12,"double",15000,"13,095722","515,435499","10,9431454332949"
12,"double",15000,"13,047703","517,33242","10,9834191044968"
12,"double",15000,"13,080637","516,029908","10,9557654111187"
16,"double",15000,"12,068338","559,314798","11,8747411946865"
16,"double",15000,"12,183347","554,034968","11,7626453880038"
16,"double",15000,"12,113801","557,215669","11,830175384258"
16,"double",15000,"12,334501","547,245488","11,6184992323565"
16,"double",15000,"12,092079","558,216678","11,8514269051666"
24,"double",15000,"12,17278","554,515891","11,7728563565595"
24,"double",15000,"9,225902","731,635819","15,5332660589718"
24,"double",15000,"12,250962","550,977123","11,6977254847415"
24,"double",15000,"12,221116","552,322709","11,7262932779625"
24,"double",15000,"12,158756","555,155478","11,7864352570279"
32,"double",15000,"11,75656","574,147543","12,1896532999449"
32,"double",15000,"11,703086","576,770972","12,2453505340386"
32,"double",15000,"11,706763","576,589771","12,2415043680307"
32,"double",15000,"11,718657","576,004563","12,2290796974431"
32,"double",15000,"11,656238","579,089063","12,2945662571406"
48,"double",15000,"11,795714","572,241754","12,1491916809784"
48,"double",15000,"11,487279","587,606505","12,4753991262857"
48,"double",15000,"11,631115","580,339893","12,3211222999687"
48,"double",15000,"11,489186","587,508973","12,473328432493"
48,"double",15000,"11,642703","579,762259","12,3088590682078"
64,"double",15000,"11,674673","578,174643","12,2751524089797"
64,"double",15000,"11,689836","577,424688","12,2592301893713"
64,"double",15000,"11,510418","586,42528","12,4503202577005"
64,"double",15000,"11,611462","581,322168","12,3419764367312"
64,"double",15000,"11,611315","581,329525","12,3421326869523"
