"threads","type","size","time","Gflops","speedup"
1,"double",15000,"141,823708","47,594299",1
1,"double",15000,"142,054861","47,516853",1
1,"double",15000,"142,156291","47,482949",1
1,"double",15000,"141,824153","47,59415",1
1,"double",15000,"141,897013","47,569712",1
2,"double",15000,"74,322232","90,820739","1,90994271000903"
2,"double",15000,"74,555796","90,53622","1,90395935414599"
2,"double",15000,"74,062737","91,138949","1,9166346120857"
2,"double",15000,"74,50572","90,597071","1,90523902325889"
2,"double",15000,"74,438782","90,678539","1,90695228194357"
4,"double",15000,"37,143746","181,726419","3,82167176137808"
4,"double",15000,"37,386759","180,545201","3,79683099035142"
4,"double",15000,"37,151153","181,69019","3,82090981671551"
4,"double",15000,"37,36885","180,631729","3,79865061943303"
4,"double",15000,"37,273585","181,093391","3,80835933007249"
6,"double",15000,"24,850658","271,622592","5,71217088899618"
6,"double",15000,"24,683248","273,464825","5,75091273239243"
6,"double",15000,"24,654782","273,780557","5,7575526402951"
6,"double",15000,"24,812473","272,040596","5,72096159862824"
6,"double",15000,"24,772523","272,479307","5,73018764378582"
8,"double",15000,"18,643228","362,061758","7,61408942700266"
8,"double",15000,"18,764321","359,725239","7,56495293381519"
8,"double",15000,"18,642","362,085606","7,61459098809141"
8,"double",15000,"18,66625","361,61521","7,60469859773656"
8,"double",15000,"18,666861","361,603384","7,60444968224706"
12,"double",15000,"12,671958","532,672209","11,2019946088836"
12,"double",15000,"12,561074","537,374416","11,3008812144567"
12,"double",15000,"12,622013","534,779982","11,2463206304731"
12,"double",15000,"12,620197","534,856946","11,2479389347092"
12,"double",15000,"12,667095","532,876726","11,2062951450194"
16,"double",15000,"9,605031","702,756707","14,7788388397705"
16,"double",15000,"9,570967","705,257908","14,8314381608462"
16,"double",15000,"9,583483","704,336852","14,8120683471761"
16,"double",15000,"9,634157","700,632101","14,7341594287907"
16,"double",15000,"9,498847","710,612585","14,9440458615661"
24,"double",15000,"9,40552","717,663655","15,0923293129992"
24,"double",15000,"7,752377","870,700709","18,3106684827118"
24,"double",15000,"9,073612","743,91541","15,6443988568169"
24,"double",15000,"9,428655","715,902781","15,0552974098639"
24,"double",15000,"9,535483","707,882357","14,8866297805785"
32,"double",15000,"9,190633","734,443408","15,4452043945178"
32,"double",15000,"9,123774","739,825444","15,5583868254518"
32,"double",15000,"9,066563","744,493825","15,6565619408369"
32,"double",15000,"9,332949","723,244066","15,2096840130595"
32,"double",15000,"9,227571","731,503413","15,3833771856104"
48,"double",15000,"8,805615","766,5563","16,1205327736904"
48,"double",15000,"8,874783","760,58199","15,994893080766"
48,"double",15000,"8,745255","771,847101","16,2317971517126"
48,"double",15000,"8,611179","783,86477","16,484526125865"
48,"double",15000,"8,844623","763,175589","16,0494353688111"
64,"double",15000,"9,143033","738,26708","15,5256144432597"
64,"double",15000,"9,125079","739,719625","15,5561617822706"
64,"double",15000,"9,161018","736,817698","15,4951344053685"
64,"double",15000,"9,13069","739,265081","15,5466021954529"
64,"double",15000,"9,25801","729,098389","15,3327988628226"
