"threads","type","size","time","Gflops","speedup"
1,"double",15000,"142,296297","47,436231",1
1,"double",15000,"142,234107","47,456972",1
1,"double",15000,"142,262271","47,447577",1
1,"double",15000,"142,206433","47,466207",1
1,"double",15000,"142,02066","47,528296",1
2,"double",15000,"74,754469","90,295604","1,90228029845279"
2,"double",15000,"75,223462","89,732642","1,89042022022331"
2,"double",15000,"76,023668","88,788139","1,87052213266006"
2,"double",15000,"74,606184","90,475073","1,90606121337073"
2,"double",15000,"75,07409","89,91118","1,89418151588651"
4,"double",15000,"38,760217","174,147633","3,66881211217161"
4,"double",15000,"38,977363","173,177442","3,64837286709211"
4,"double",15000,"38,121257","177,066566","3,7303059969927"
4,"double",15000,"38,239983","176,516813","3,71872428918182"
4,"double",15000,"38,417308","175,702054","3,70155955747862"
6,"double",15000,"25,665211","263,001927","5,54072801505509"
6,"double",15000,"25,645187","263,207284","5,54505426690786"
6,"double",15000,"25,47495","264,966168","5,58210923279535"
6,"double",15000,"26,188738","257,74438","5,42996587311691"
6,"double",15000,"25,825609","261,36847","5,50631559550058"
8,"double",15000,"19,355557","348,737059","7,34693161245631"
8,"double",15000,"19,250067","350,64813","7,38719265756322"
8,"double",15000,"19,191918","351,710555","7,40957488459465"
8,"double",15000,"19,409978","347,759288","7,32633254916621"
8,"double",15000,"19,315736","349,456005","7,36207792444461"
12,"double",15000,"13,253004","509,318496","10,7299411967279"
12,"double",15000,"13,070372","516,435199","10,8798704122576"
12,"double",15000,"13,0486","517,296886","10,8980238186472"
12,"double",15000,"13,051461","517,183484","10,8956348718354"
12,"double",15000,"13,012218","518,743216","10,9284945579608"
16,"double",15000,"12,149693","555,569614","11,7043248417882"
16,"double",15000,"12,395061","544,571745","11,4726303968976"
16,"double",15000,"12,350696","546,527918","11,5138412928308"
16,"double",15000,"12,562851","537,298425","11,3194014320476"
16,"double",15000,"12,455168","541,943725","11,4172649939367"
24,"double",15000,"12,50552","539,761632","11,3712947242498"
24,"double",15000,"12,512197","539,473609","11,3652265545371"
24,"double",15000,"12,67668","532,473799","11,21775998132"
24,"double",15000,"12,295206","548,994456","11,565804883627"
24,"double",15000,"12,673152","532,622021","11,2208828237837"
32,"double",15000,"11,78923","572,556463","12,062191814054"
32,"double",15000,"11,837926","570,201256","12,0125732835296"
32,"double",15000,"11,868307","568,741599","11,9818229845251"
32,"double",15000,"11,965137","564,138966","11,8848579502266"
32,"double",15000,"12,051909","560,077248","11,7992886936003"
48,"double",15000,"11,586953","582,551793","12,272765204105"
48,"double",15000,"11,877761","568,288939","11,9722861572985"
48,"double",15000,"11,722686","575,806609","12,1306630238155"
48,"double",15000,"11,682842","577,770358","12,1720343046666"
64,"double",15000,"11,499442","586,984982","12,366161210257"
64,"double",15000,"11,549431","584,444389","12,3126371853297"
64,"double",15000,"11,546074","584,614301","12,3162170621806"
64,"double",15000,"11,585518","582,623939","12,2742853275961"
64,"double",15000,"11,516034","586,139284","12,3483443692507"
