"threads","type","size","time","Gflops","speedup"
1,"double",15000,"142,122112","47,494369",1
1,"double",15000,"141,262043","47,783537",1
1,"double",15000,"141,962296","47,547836",1
1,"double",15000,"141,803981","47,60092",1
1,"double",15000,"141,705019","47,634163",1
2,"double",15000,"74,225023","90,939682","1,91001746405656"
2,"double",15000,"73,896402","91,344095","1,91851140736189"
2,"double",15000,"74,313648","90,831229","1,90773961466674"
2,"double",15000,"73,761309","91,511391","1,92202513922306"
2,"double",15000,"74,277312","90,875663","1,90867286904513"
4,"double",15000,"37,207917","181,413002","3,81023990673813"
4,"double",15000,"37,230377","181,303565","3,80794130019151"
4,"double",15000,"37,376326","180,595602","3,79307185516308"
4,"double",15000,"37,290238","181,01252","3,80182851608509"
4,"double",15000,"37,740857","178,851266","3,75643537188358"
6,"double",15000,"25,222796","267,61506","5,62075236226785"
6,"double",15000,"24,756173","272,659273","5,72669653746563"
6,"double",15000,"24,773422","272,469418","5,72270920827974"
6,"double",15000,"24,905791","271,021308","5,69229422185387"
6,"double",15000,"24,767823","272,531014","5,72400288067304"
8,"double",15000,"18,659146","361,752883","7,59794098829604"
8,"double",15000,"19,329359","349,20971","7,33449516872236"
8,"double",15000,"18,584341","363,208997","7,62852393851361"
8,"double",15000,"18,894872","357,239784","7,50315165934969"
8,"double",15000,"18,686126","361,230575","7,58697068616577"
12,"double",15000,"12,582126","536,475299","11,2676578028228"
12,"double",15000,"12,6018","535,637749","11,250066673015"
12,"double",15000,"12,684243","532,156322","11,1769453013475"
12,"double",15000,"12,567021","537,120121","11,2812010260825"
12,"double",15000,"12,606083","535,455773","11,2462443885226"
16,"double",15000,"9,732986","693,517909","14,5660427539914"
16,"double",15000,"9,595232","703,474362","14,775160225412"
16,"double",15000,"9,55792","706,220593","14,8328391742136"
16,"double",15000,"9,638927","700,285406","14,7081817509356"
16,"double",15000,"9,642094","700,055376","14,7033507659228"
24,"double",15000,"9,145643","738,056344","15,5014896382901"
24,"double",15000,"9,011592","749,035239","15,732080435954"
24,"double",15000,"9,080304","743,367168","15,6130334623158"
24,"double",15000,"9,419549","716,594804","15,0507301570383"
24,"double",15000,"9,319212","724,310189","15,2127765952744"
32,"double",15000,"8,987421","751,049702","15,7743906956178"
32,"double",15000,"8,888771","759,385041","15,9494591772023"
32,"double",15000,"8,811604","766,035356","16,0891354400402"
32,"double",15000,"8,93685","755,299687","15,8636533230389"
32,"double",15000,"8,841283","763,463853","16,0351263724959"
48,"double",15000,"9,330911","723,401999","15,1937029728394"
48,"double",15000,"9,180047","735,290331","15,4433948105059"
48,"double",15000,"9,34967","721,95058","15,163218616272"
48,"double",15000,"9,538854","707,632157","14,8624866467188"
48,"double",15000,"9,260016","728,940456","15,3100264837555"
64,"double",15000,"10,222124","660,332463","13,8690442612514"
64,"double",15000,"10,089323","669,024053","14,0515959495003"
64,"double",15000,"9,855103","684,924316","14,385551343299"
64,"double",15000,"9,810948","688,006892","14,4502947319668"
64,"double",15000,"9,959802","677,724316","14,2343281723874"
