"threads","type","size","time","Gflops","speedup"
1,"double",15000,"142,127435","47,49259",1
1,"double",15000,"142,095576","47,503238",1
1,"double",15000,"141,507926","47,700508",1
1,"double",15000,"142,476662","47,37618",1
1,"double",15000,"141,604909","47,667839",1
2,"double",15000,"77,230075","87,401185","1,83817640472316"
2,"double",15000,"76,92928","87,742924","1,84536371067037"
2,"double",15000,"77,102693","87,54558","1,84121327124073"
2,"double",15000,"77,081223","87,569965","1,8417261179159"
2,"double",15000,"76,240496","88,535626","1,862035388647"
4,"double",15000,"38,923346","173,417771","3,6472327327666"
4,"double",15000,"38,424981","175,666971","3,69453667654383"
4,"double",15000,"39,013942","173,015074","3,63876333234924"
4,"double",15000,"38,930924","173,384019","3,64652278995484"
4,"double",15000,"39,095446","172,654381","3,6311774419967"
6,"double",15000,"25,748224","262,154005","5,51348712827727"
6,"double",15000,"25,53234","264,370595","5,56010540357836"
6,"double",15000,"25,836947","261,253782","5,49455404309186"
6,"double",15000,"25,880757","260,811534","5,48525306272919"
6,"double",15000,"25,582057","263,856812","5,54929971424894"
8,"double",15000,"19,503527","346,091243","7,27881175543275"
8,"double",15000,"19,36637","348,542351","7,33036194186107"
8,"double",15000,"19,450766","347,030042","7,29855583065469"
8,"double",15000,"19,567042","344,967826","7,25518459049661"
8,"double",15000,"19,589095","344,579467","7,24701685299908"
12,"double",15000,"13,089404","515,684288","10,8456047043853"
12,"double",15000,"13,215554","510,76179","10,742077222037"
12,"double",15000,"13,170953","512,491408","10,7784532827655"
12,"double",15000,"13,058504","516,904554","10,8712683780623"
12,"double",15000,"12,914979","522,648948","10,9920814892537"
16,"double",15000,"12,422357","543,375152","11,4279843672179"
16,"double",15000,"12,323693","547,725413","11,5194772865569"
16,"double",15000,"12,323018","547,755432","11,5201082721781"
16,"double",15000,"12,655034","533,384577","11,2178680515596"
16,"double",15000,"12,432153","542,947008","11,4189796087613"
24,"double",15000,"12,5918","536,063158","11,2742023856796"
24,"double",15000,"12,601265","535,660527","11,2657341624035"
24,"double",15000,"12,891595","523,596955","11,0120199711517"
24,"double",15000,"12,665915","532,926362","11,2082310358154"
24,"double",15000,"12,830001","526,11063","11,0648862459169"
32,"double",15000,"11,989344","562,999937","11,8407230287162"
32,"double",15000,"11,913527","566,582851","11,916076708434"
32,"double",15000,"11,743645","574,778934","12,088453082497"
32,"double",15000,"11,903106","567,078857","11,9265090641048"
32,"double",15000,"11,627888","580,500943","12,2087950623535"
48,"double",15000,"11,497516","587,083324","12,3472323587112"
48,"double",15000,"11,388201","592,718721","12,4657530719734"
48,"double",15000,"11,650457","579,376399","12,1851444625734"
48,"double",15000,"11,726649","575,611996","12,1059734626661"
48,"double",15000,"11,632486","580,271485","12,20396926332"
64,"double",15000,"8,655152","779,882288","16,4020807029154"
64,"double",15000,"9,909167","681,187404","14,3263809763222"
64,"double",15000,"11,450148","589,512029","12,3983114978077"
64,"double",15000,"11,576372","583,084226","12,2631254075111"
64,"double",15000,"11,614235","581,183349","12,2231469916013"
