"threads","type","size","time","Gflops","speedup"
1,"double",15000,"141,854748","47,583885",1
1,"double",15000,"141,784509","47,607458",1
1,"double",15000,"141,875916","47,576785",1
1,"double",15000,"141,565916","47,680969",1
1,"double",15000,"141,668328","47,6465",1
2,"double",15000,"75,694914","89,173759","1,87264739345632"
2,"double",15000,"74,153741","91,0271","1,91156752833279"
2,"double",15000,"73,998811","91,217682","1,91556974341115"
2,"double",15000,"75,715177","89,149893","1,87214623298048"
2,"double",15000,"74,674775","90,39197","1,89822980250024"
4,"double",15000,"37,649907","179,283309","3,76494644196598"
4,"double",15000,"37,398194","180,489997","3,79028686251534"
4,"double",15000,"38,542935","175,129373","3,67771378593768"
4,"double",15000,"37,799082","178,575766","3,75008798890936"
4,"double",15000,"37,195646","181,472851","3,8109267789031"
6,"double",15000,"25,249828","267,328555","5,61389500950264"
6,"double",15000,"25,405008","265,695646","5,57960396627311"
6,"double",15000,"25,139567","268,501049","5,63851729824941"
6,"double",15000,"24,6979","273,302584","5,73934963701367"
6,"double",15000,"24,815409","272,008408","5,71217195735118"
8,"double",15000,"18,86398","357,824807","7,51431476284432"
8,"double",15000,"19,031808","354,669399","7,44805135697039"
8,"double",15000,"18,719038","360,595444","7,57249829825657"
8,"double",15000,"18,708804","360,792698","7,57664056986219"
8,"double",15000,"18,679397","361,3607","7,58856848537455"
12,"double",15000,"12,634874","534,235644","11,2189392153812"
12,"double",15000,"12,535628","538,465225","11,3077608397441"
12,"double",15000,"12,612146","535,198362","11,2391565559105"
12,"double",15000,"12,663931","533,009845","11,1931977045674"
12,"double",15000,"12,615873","535,040259","11,2358362675338"
16,"double",15000,"9,63227","700,769398","14,716145145433"
16,"double",15000,"9,654035","699,189535","14,6829676295974"
16,"double",15000,"9,603107","702,897482","14,7608355712375"
16,"double",15000,"9,598053","703,267667","14,7686081124995"
16,"double",15000,"9,705519","695,480598","14,6050802023055"
24,"double",15000,"9,34637","722,205515","15,1663034311717"
24,"double",15000,"9,290779","726,526791","15,2570503937291"
24,"double",15000,"9,345244","722,292534","15,1681308053594"
24,"double",15000,"9,085582","742,935365","15,6016294168057"
24,"double",15000,"7,986384","845,188498","17,7489441279057"
32,"double",15000,"8,7226","773,851845","16,2508751289753"
32,"double",15000,"8,932099","755,701472","15,8697170060475"
32,"double",15000,"9,078299","743,531324","15,6141457116581"
32,"double",15000,"8,989568","750,870328","15,7682642146986"
32,"double",15000,"8,957638","753,546848","15,8244710715034"
48,"double",15000,"9,263989","728,627804","15,3011713852424"
48,"double",15000,"9,294718","726,218877","15,2505846223629"
48,"double",15000,"9,418495","716,675023","15,050162833871"
48,"double",15000,"9,322041","724,09039","15,2058849987894"
64,"double",15000,"10,160024","664,368531","13,9517272203294"
64,"double",15000,"9,832213","686,518913","14,4168849271268"
64,"double",15000,"9,842323","685,813736","14,4020759530042"
64,"double",15000,"10,011798","674,204553","14,1582843960695"
64,"double",15000,"9,865932","684,172599","14,3676120411128"
