"threads","type","size","time","Gflops","speedup"
1,"float",15000,"106,787351","63,209734",1
1,"float",15000,"107,287225","62,915226",1
1,"float",15000,"109,562954","61,608415",1
1,"float",15000,"108,381514","62,279994",1
1,"float",15000,"109,219437","61,802186",1
2,"float",15000,"55,525734","121,565255","1,94950500249128"
2,"float",15000,"55,886262","120,781025","1,93692854605305"
2,"float",15000,"55,478877","121,667929","1,95115153826924"
2,"float",15000,"55,645474","121,303667","1,94530998513913"
2,"float",15000,"54,903858","122,94218","1,97158633551762"
4,"float",15000,"37,338676","180,7777","2,89907698387591"
4,"float",15000,"36,731063","183,768166","2,9470341274904"
4,"float",15000,"36,938146","182,73792","2,9305124355727"
4,"float",15000,"37,202742","181,438239","2,90966983562663"
4,"float",15000,"37,384761","180,554852","2,89550322924359"
6,"float",15000,"18,81596","358,738014","5,75297227460092"
6,"float",15000,"18,871678","357,678846","5,73598681579879"
6,"float",15000,"19,092209","353,547351","5,66973136529147"
6,"float",15000,"18,976619","355,700881","5,70426671895557"
6,"float",15000,"19,017302","354,939944","5,6920637953796"
8,"float",15000,"14,750167","457,621937","7,3387437715112"
8,"float",15000,"14,649889","460,754329","7,38897722706295"
8,"float",15000,"14,59879","462,367087","7,41484028470853"
8,"float",15000,"14,660461","460,422071","7,38364886342933"
8,"float",15000,"14,601225","462,289988","7,41360373530303"
12,"float",15000,"10,475909","644,335466","10,333012266525"
12,"float",15000,"10,380312","650,269455","10,4281736618321"
12,"float",15000,"10,49151","643,377344","10,3176469545375"
12,"float",15000,"10,441463","646,461146","10,367100491569"
12,"float",15000,"10,46395","645,071901","10,3448216208984"
16,"float",15000,"8,891436","759,157474","12,1743772546977"
16,"float",15000,"8,933689","755,566936","12,116797014089"
16,"float",15000,"8,887449","759,497989","12,1798388041383"
16,"float",15000,"8,887973","759,453268","12,1791207286521"
16,"float",15000,"8,940464","754,994411","12,1076150186389"
24,"float",15000,"6,409226","1053,16926","16,8893554697556"
24,"float",15000,"6,543971","1031,483746","16,5415916727015"
24,"float",15000,"6,533304","1033,167882","16,568599318201"
24,"float",15000,"6,404852","1053,888486","16,9008895443642"
24,"float",15000,"6,396104","1055,329858","16,9240050193055"
32,"float",15000,"5,406959","1248,391148","20,0200697286589"
32,"float",15000,"5,424451","1244,365529","19,9555118481114"
32,"float",15000,"5,522281","1222,321071","19,6019898661441"
32,"float",15000,"5,48119","1231,48435","19,7489406862378"
32,"float",15000,"5,399894","1250,024436","20,0462631673881"
48,"float",15000,"4,836165","1395,733959","22,382961747583"
48,"float",15000,"4,865119","1387,427642","22,2497530276238"
48,"float",15000,"4,897115","1378,362692","22,1043810896824"
48,"float",15000,"4,863724","1387,825601","22,2561346408637"
48,"float",15000,"4,913607","1373,736245","22,030190082357"
64,"float",15000,"5,056893","1334,811652","21,4059692779736"
64,"float",15000,"5,117409","1319,026952","21,152832654181"
64,"float",15000,"5,10277","1322,81102","21,2135166194048"
64,"float",15000,"5,049382","1336,797287","21,4378108449707"
64,"float",15000,"5,113383","1320,065516","21,1694872455281"
