"threads","type","size","time","Gflops","speedup"
1,"float",15000,"70,813709","95,320526",1
1,"float",15000,"71,978689","93,777757",1
1,"float",15000,"70,097134","96,294949",1
1,"float",15000,"69,994549","96,436082",1
1,"float",15000,"70,850011","95,271685",1
2,"float",15000,"36,172969","186,603426","1,95579241504893"
2,"float",15000,"35,309595","191,166171","2,00361455292818"
2,"float",15000,"35,870492","188,176958","1,97228458422037"
2,"float",15000,"36,453626","185,166763","1,94073474062635"
2,"float",15000,"35,755036","188,784594","1,97865325600567"
4,"float",15000,"18,004462","374,90707","3,92940474422396"
4,"float",15000,"18,022869","374,524172","3,92539158998492"
4,"float",15000,"18,256819","369,724878","3,87509009099559"
4,"float",15000,"17,753191","380,21333","3,98501984234834"
4,"float",15000,"18,214877","370,576208","3,88401296368897"
6,"float",15000,"12,198863","553,33025","5,79946003164393"
6,"float",15000,"11,982484","563,32225","5,90418634400013"
6,"float",15000,"12,027436","561,216877","5,88211971362808"
6,"float",15000,"12,047229","560,29483","5,87245568254741"
6,"float",15000,"12,140589","555,986196","5,82729704464915"
8,"float",15000,"9,205885","733,226588","7,68495569953351"
8,"float",15000,"9,134306","738,97236","7,74517718149578"
8,"float",15000,"9,188816","734,588632","7,69923115230515"
8,"float",15000,"9,108777","741,043521","7,76688444562865"
8,"float",15000,"9,11159","740,81473","7,76448659344857"
12,"float",15000,"6,073759","1111,33811","11,6479462553585"
12,"float",15000,"6,075206","1111,073364","11,6451719332645"
12,"float",15000,"6,082345","1109,769399","11,6315037045745"
12,"float",15000,"6,065612","1112,830792","11,6635911429877"
12,"float",15000,"6,047153","1116,227753","11,6991943812237"
16,"float",15000,"4,568782","1477,41776","15,484831274506"
16,"float",15000,"4,64091","1454,456167","15,2441694409071"
16,"float",15000,"4,633535","1456,771216","15,2684329351133"
16,"float",15000,"4,619259","1461,273246","15,3156206222686"
16,"float",15000,"4,581731","1473,24239","15,4410676663471"
24,"float",15000,"3,425875","1970,29973","20,6507296384135"
24,"float",15000,"3,476559","1941,575092","20,3496671277548"
24,"float",15000,"3,445086","1959,31266","20,5355739740604"
24,"float",15000,"3,433983","1965,647315","20,601971063922"
24,"float",15000,"3,451012","1955,947829","20,5003107494265"
32,"float",15000,"3,495529","1931,03803","20,2392308574754"
32,"float",15000,"3,50157","1927,706597","20,2043136078959"
32,"float",15000,"3,494569","1931,568909","20,2447908168361"
32,"float",15000,"3,51836","1918,507251","20,1078964062802"
32,"float",15000,"3,485605","1936,535858","20,2968547497493"
48,"float",15000,"2,804237","2407,071598","25,2285446629511"
48,"float",15000,"2,821173","2392,621517","25,0770932516368"
48,"float",15000,"2,895632","2331,097598","24,4322546511435"
48,"float",15000,"2,870811","2351,251582","24,6434956533189"
48,"float",15000,"2,847878","2370,18612","24,8419414033888"
64,"float",15000,"3,376661","1999,016383","20,9517089219202"
64,"float",15000,"3,331612","2026,046064","21,2350112798249"
64,"float",15000,"3,432836","1966,30427","20,608854719538"
64,"float",15000,"3,420904","1973,162894","20,6807377231282"
64,"float",15000,"3,447354","1958,023576","20,5220637045108"
