"threads","type","size","time","Gflops","speedup"
1,"float",15000,"109,008673","61,921678",1
1,"float",15000,"107,774799","62,630597",1
1,"float",15000,"106,858777","63,167483",1
1,"float",15000,"107,945116","62,531778",1
1,"float",15000,"107,974146","62,514966",1
2,"float",15000,"55,43647","121,760999","1,94659404179234"
2,"float",15000,"55,139733","122,416262","1,95706972683382"
2,"float",15000,"55,191346","122,301782","1,95523954425754"
2,"float",15000,"55,160304","122,370609","1,95633987441404"
2,"float",15000,"55,285444","122,093621","1,95191164965592"
4,"float",15000,"42,601741","158,444227","2,53304911177222"
4,"float",15000,"43,056319","156,771415","2,50630580380083"
4,"float",15000,"42,496646","158,836064","2,53931338957903"
4,"float",15000,"42,760982","157,854187","2,52361609001402"
4,"float",15000,"41,585015","162,318083","2,59498048034851"
6,"float",15000,"25,649341","263,16466","4,20721539005622"
6,"float",15000,"25,562857","264,054989","4,22144919873393"
6,"float",15000,"25,698068","262,665659","4,19923794271227"
6,"float",15000,"24,126797","279,771905","4,47271563647674"
6,"float",15000,"25,695298","262,693972","4,19969062822311"
8,"float",15000,"18,18372","371,211177","5,93455586645637"
8,"float",15000,"18,377775","367,29147","5,87189157555798"
8,"float",15000,"18,19521","370,97675","5,9308082841583"
8,"float",15000,"18,230873","370,251061","5,91920651303972"
8,"float",15000,"18,195018","370,98068","5,9308708680585"
12,"float",15000,"11,729637","575,465385","9,19996946197056"
12,"float",15000,"12,299792","548,789761","8,77350626742306"
12,"float",15000,"12,03946","560,65637","8,96321780212734"
12,"float",15000,"11,529421","585,458697","9,35973299960163"
12,"float",15000,"12,060391","559,683334","8,9476619953698"
16,"float",15000,"10,193381","662,194424","10,5865072835009"
16,"float",15000,"10,017778","673,80209","10,7720796168572"
16,"float",15000,"10,13186","666,215314","10,650788917336"
16,"float",15000,"9,936287","679,328185","10,8604252473786"
16,"float",15000,"10,095091","668,64184","10,6895819165969"
24,"float",15000,"6,337152","1065,14721","17,0285172582258"
24,"float",15000,"6,24648","1080,608584","17,2756980251278"
24,"float",15000,"6,331704","1066,063728","17,0431691374076"
24,"float",15000,"6,312072","1069,379365","17,0961773249735"
24,"float",15000,"6,274866","1075,72013","17,1975468798856"
32,"float",15000,"5,48213","1231,27318","19,6843749053744"
32,"float",15000,"5,507755","1225,54473","19,5927927440491"
32,"float",15000,"5,470345","1233,925927","19,7267818026103"
32,"float",15000,"5,475358","1232,796046","19,7087208178899"
32,"float",15000,"5,469543","1234,106797","19,7296743439077"
48,"float",15000,"5,10906","1321,182451","21,1217527686111"
48,"float",15000,"5,065513","1332,54024","21,303331409869"
48,"float",15000,"5,078714","1329,076526","21,2479580854523"
48,"float",15000,"5,102828","1322,796034","21,1475484182496"
48,"float",15000,"5,08145","1328,361068","21,2365175688042"
64,"float",15000,"5,345722","1262,692002","20,1866655617333"
64,"float",15000,"5,382333","1254,102915","20,0493544713789"
64,"float",15000,"5,382469","1254,07143","20,0488478800342"
64,"float",15000,"5,368862","1257,249633","20,0996602631992"
64,"float",15000,"5,354489","1260,624481","20,1536135754504"
