"threads","type","size","time","Gflops","speedup"
1,"float",15000,"71,900559","93,87966",1
1,"float",15000,"72,220284","93,464047",1
1,"float",15000,"69,912331","96,549491",1
1,"float",15000,"69,691621","96,855259",1
1,"float",15000,"69,765521","96,752663",1
2,"float",15000,"38,390185","175,82619","1,84156609820974"
2,"float",15000,"38,99624","173,09361","1,81294563783585"
2,"float",15000,"38,650168","174,643483","1,82917867782619"
2,"float",15000,"38,242028","176,507377","1,84870068083209"
2,"float",15000,"37,435138","180,311879","1,88854821905558"
4,"float",15000,"18,785582","359,318128","3,76342150059551"
4,"float",15000,"19,187881","351,78455","3,68451645077432"
4,"float",15000,"19,28574","349,999538","3,66582061149844"
4,"float",15000,"18,77012","359,614119","3,76652164184353"
4,"float",15000,"19,56862","344,940014","3,6128282525799"
6,"float",15000,"12,770793","528,549809","5,53591802795645"
6,"float",15000,"12,83944","525,723847","5,50631983949456"
6,"float",15000,"13,038325","517,704531","5,42232711640491"
6,"float",15000,"12,767382","528,690992","5,53739703253181"
6,"float",15000,"12,855418","525,070446","5,49947603415152"
8,"float",15000,"9,653001","699,264428","7,3239465322753"
8,"float",15000,"9,488909","711,35679","7,45059976863515"
8,"float",15000,"9,517928","709,187953","7,42788379991948"
8,"float",15000,"9,671457","697,930003","7,30997027645369"
8,"float",15000,"9,767067","691,097976","7,23841284184904"
12,"float",15000,"6,539537","1032,183117","10,8108667631975"
12,"float",15000,"6,32436","1067,301604","11,1786905236261"
12,"float",15000,"6,542339","1031,741034","10,8062366074274"
12,"float",15000,"6,580788","1025,712996","10,7430999448698"
12,"float",15000,"6,518289","1035,54778","10,8461074984555"
16,"float",15000,"4,998869","1350,305355","14,1428117440165"
16,"float",15000,"4,95813","1361,400407","14,2590176538332"
16,"float",15000,"4,971205","1357,819632","14,2215143410903"
16,"float",15000,"4,925652","1370,376833","14,3530365523184"
16,"float",15000,"4,953634","1362,636119","14,2719593736639"
24,"float",15000,"3,870555","1743,935975","18,2656138977485"
24,"float",15000,"3,883385","1738,174219","18,2052676209029"
24,"float",15000,"3,877838","1740,660782","18,2313090954289"
24,"float",15000,"3,969904","1700,292943","17,8085070067186"
24,"float",15000,"3,826624","1763,957122","18,475309620177"
32,"float",15000,"4,187634","1611,888546","16,8825793276108"
32,"float",15000,"4,224444","1597,843364","16,7354717449208"
32,"float",15000,"4,15211","1625,679477","17,0270207677542"
32,"float",15000,"4,137625","1631,37057","17,0866289719344"
32,"float",15000,"4,202175","1606,311181","16,8241596792137"
48,"float",15000,"3,91926","1722,263777","18,0386254548052"
48,"float",15000,"3,832814","1761,108364","18,445471969159"
48,"float",15000,"3,72176","1813,657873","18,9958684063454"
48,"float",15000,"3,890426","1735,028617","18,1723192267376"
48,"float",15000,"4,20638","1604,705239","16,8073410390882"
64,"float",15000,"4,206698","1604,584033","16,806070509459"
64,"float",15000,"4,193783","1609,525267","16,8578257864081"
64,"float",15000,"4,201696","1606,494167","16,8260776600687"
64,"float",15000,"4,150871","1626,16462","17,0321031899088"
64,"float",15000,"4,17116","1618,254725","16,9492570891551"
