"threads","type","size","time","Gflops","speedup"
1,"float",15000,"107,320889","62,895491",1
1,"float",15000,"108,000544","62,499685",1
1,"float",15000,"108,970063","61,943618",1
1,"float",15000,"108,34754","62,299522",1
1,"float",15000,"106,022304","63,665849",1
2,"float",15000,"56,080869","120,361901","1,92101638082677"
2,"float",15000,"55,878301","120,798233","1,92798038007634"
2,"float",15000,"56,314823","119,86187","1,91303572063078"
2,"float",15000,"56,347805","119,791712","1,91191596549324"
2,"float",15000,"55,75099","121,074082","1,93238304826515"
4,"float",15000,"38,227656","176,573736","2,81817613928513"
4,"float",15000,"37,904372","178,079719","2,84221218597158"
4,"float",15000,"38,203424","176,685733","2,81996367655423"
4,"float",15000,"38,32823","176,110401","2,81078119182649"
4,"float",15000,"38,809313","173,927325","2,77593854856436"
6,"float",15000,"19,295289","349,826331","5,58334565499382"
6,"float",15000,"19,040158","354,513863","5,65816039971937"
6,"float",15000,"19,120588","353,022622","5,63435957095043"
6,"float",15000,"18,963725","355,942731","5,680965527606"
6,"float",15000,"19,090776","353,573896","5,6431581408739"
8,"float",15000,"14,532897","464,463475","7,41299329376655"
8,"float",15000,"14,872103","453,869905","7,24391621010156"
8,"float",15000,"15,109426","446,740999","7,13013637976717"
8,"float",15000,"14,836545","454,957664","7,26127733916488"
8,"float",15000,"15,060851","448,181842","7,15313284753962"
12,"float",15000,"10,422114","647,661293","10,3368921122912"
12,"float",15000,"10,580679","637,955271","10,1819805704341"
12,"float",15000,"10,652414","633,659184","10,1134135417568"
12,"float",15000,"10,552371","639,666698","10,2092949537123"
12,"float",15000,"10,550783","639,762927","10,210831556293"
16,"float",15000,"8,869094","761,069846","12,1469304530993"
16,"float",15000,"8,837669","763,776089","12,1901225311788"
16,"float",15000,"8,632181","781,957611","12,4803068888384"
16,"float",15000,"8,902819","758,186835","12,1009163502032"
16,"float",15000,"8,632255","781,950911","12,4801999014163"
24,"float",15000,"6,265221","1077,376227","17,1952861678782"
24,"float",15000,"6,258621","1078,51236","17,213419377847"
24,"float",15000,"6,280829","1074,698956","17,1525554986452"
24,"float",15000,"6,363994","1060,65474","16,9284050236377"
24,"float",15000,"6,36478","1060,523612","16,92631449948"
32,"float",15000,"5,559256","1214,191311","19,3789003420602"
32,"float",15000,"5,575331","1210,690544","19,323026381752"
32,"float",15000,"5,599191","1205,531394","19,2406845917562"
32,"float",15000,"5,588006","1207,944332","19,2791969085216"
32,"float",15000,"5,569523","1211,952942","19,3431767855165"
48,"float",15000,"4,730184","1427,005695","22,7754920315996"
48,"float",15000,"4,7155","1431,449433","22,8464145901813"
48,"float",15000,"5,716983","1180,692618","18,8442519419771"
48,"float",15000,"4,785331","1410,560818","22,5130232370551"
48,"float",15000,"4,360581","1547,958747","24,7059435428444"
64,"float",15000,"5,058468","1334,396131","21,2974102040381"
64,"float",15000,"5,148127","1311,15653","20,9264977340303"
64,"float",15000,"4,1803","1614,716779","25,7714202329976"
64,"float",15000,"4,189885","1611,022904","25,7124641845779"
64,"float",15000,"4,829714","1397,598385","22,3061382102543"
