"threads","type","size","time","Gflops","speedup"
1,"float",15000,"69,411757","97,245773",1
1,"float",15000,"69,785895","96,724417",1
1,"float",15000,"70,314591","95,997146",1
1,"float",15000,"69,052266","97,752042",1
1,"float",15000,"69,200141","97,543154",1
2,"float",15000,"37,711238","178,991735","1,84435552076015"
2,"float",15000,"37,299579","180,967188","1,86471085906895"
2,"float",15000,"38,43376","175,626846","1,80968320559841"
2,"float",15000,"38,196958","176,715641","1,8209023346833"
2,"float",15000,"38,154621","176,911729","1,82292283810131"
4,"float",15000,"19,399602","347,94528","3,58527613092268"
4,"float",15000,"19,758031","341,633241","3,52023589800016"
4,"float",15000,"19,268991","350,303765","3,60957820780548"
4,"float",15000,"19,641744","343,655845","3,54107710598407"
4,"float",15000,"19,731161","342,098471","3,52502977397022"
6,"float",15000,"13,060657","516,819344","5,32537758246005"
6,"float",15000,"12,834359","525,931998","5,41927571139314"
6,"float",15000,"12,792079","527,670275","5,43718734069732"
6,"float",15000,"13,341331","505,946512","5,21334265674092"
6,"float",15000,"12,919547","522,464123","5,3835424725031"
8,"float",15000,"9,669253","698,089061","7,19320613495169"
8,"float",15000,"9,749263","692,360032","7,13417311647044"
8,"float",15000,"9,915164","680,775452","7,01480378942799"
8,"float",15000,"9,670197","698,020932","7,19250393761368"
8,"float",15000,"9,659766","698,774718","7,2002706897869"
12,"float",15000,"6,427425","1050,187251","10,8212744606121"
12,"float",15000,"6,459169","1045,026132","10,7680926137712"
12,"float",15000,"6,536253","1032,701696","10,6411012548015"
12,"float",15000,"6,587448","1024,676049","10,5584028898596"
12,"float",15000,"6,560435","1028,895142","10,6018777718246"
16,"float",15000,"4,911506","1374,32398","14,1612226473917"
16,"float",15000,"4,904207","1376,369393","14,1822989934968"
16,"float",15000,"5,002364","1349,362086","13,9040121830399"
16,"float",15000,"4,967863","1358,733175","14,0005732847303"
16,"float",15000,"4,935389","1367,673318","14,0926946183979"
24,"float",15000,"3,945186","1710,945834","17,6298227764166"
24,"float",15000,"3,926139","1719,246443","17,7153508828903"
24,"float",15000,"3,831326","1761,792346","18,1537488587502"
24,"float",15000,"3,906805","1727,754553","17,8030206268293"
24,"float",15000,"3,91294","1725,045812","17,7751077195152"
32,"float",15000,"4,209417","1603,547572","16,5231741117594"
32,"float",15000,"4,221669","1598,893522","16,4752210559378"
32,"float",15000,"4,177718","1615,714713","16,6485459286625"
32,"float",15000,"4,278528","1577,645433","16,2562755227966"
32,"float",15000,"4,251501","1587,674396","16,3596174621622"
48,"float",15000,"4,053339","1665,293773","17,1594159777902"
48,"float",15000,"4,014319","1681,480642","17,3262090033204"
48,"float",15000,"3,939898","1713,242465","17,6534849379349"
48,"float",15000,"3,982252","1695,02071","17,4657279348469"
48,"float",15000,"3,960063","1704,51817","17,5635917913427"
64,"float",15000,"4,076874","1655,680346","17,0603580095926"
64,"float",15000,"4,682238","1441,618367","14,8546336175137"
64,"float",15000,"4,476369","1507,918616","15,5378008381347"
64,"float",15000,"4,599511","1467,547293","15,1218096880299"
64,"float",15000,"4,568168","1477,616488","15,2255630703599"
