"threads","type","size","time","Gflops","speedup"
1,"float",15000,"127,636318","52,884634",1
1,"float",15000,"126,815398","53,226975",1
1,"float",15000,"125,65916","53,716737",1
1,"float",15000,"126,056817","53,547283",1
1,"float",15000,"124,572406","54,185355",1
2,"float",15000,"60,726527","111,15406","2,07731326048005"
2,"float",15000,"66,760126","101,108258","1,889571325854"
2,"float",15000,"70,080704","96,317526","1,80003927757347"
2,"float",15000,"61,408226","109,920128","2,05425279342868"
2,"float",15000,"65,267128","103,421128","1,93279563029034"
4,"float",15000,"44,280296","152,438004","2,84885222537808"
4,"float",15000,"43,9407","153,616123","2,87086959925536"
4,"float",15000,"40,997696","164,643398","3,07695388053026"
4,"float",15000,"44,090169","153,095353","2,86113713467508"
4,"float",15000,"43,615945","154,759917","2,8922454804086"
6,"float",15000,"23,880686","282,6552","5,28242864547526"
6,"float",15000,"22,482461","300,234039","5,61095245756236"
6,"float",15000,"22,089639","305,573121","5,71073252034585"
6,"float",15000,"22,999106","293,489675","5,48490970909913"
6,"float",15000,"23,049825","292,843874","5,47284067449536"
8,"float",15000,"18,619894","362,515491","6,77490536734527"
8,"float",15000,"16,973952","397,668154","7,43185910977008"
8,"float",15000,"16,629406","405,907457","7,58584039622341"
8,"float",15000,"17,254162","391,209961","7,31116468015079"
8,"float",15000,"18,548205","363,916611","6,80109044514011"
12,"float",15000,"12,376471","545,389697","10,1925678006275"
12,"float",15000,"12,187533","553,844645","10,3505787266381"
12,"float",15000,"12,742648","529,717226","9,89967075917031"
12,"float",15000,"12,168953","554,690276","10,366382366667"
12,"float",15000,"12,254246","550,829502","10,2942294287221"
16,"float",15000,"10,365184","651,218547","12,1703599087098"
16,"float",15000,"9,97743","676,526893","12,6433379938521"
16,"float",15000,"10,074015","670,04068","12,5221195124288"
16,"float",15000,"10,116473","667,228596","12,4695652130935"
16,"float",15000,"10,110529","667,620848","12,4768960951499"
24,"float",15000,"6,345915","1063,676417","19,8786179455603"
24,"float",15000,"6,330427","1066,278749","19,9272529009497"
24,"float",15000,"6,27868","1075,066743","20,0914873508444"
24,"float",15000,"6,492659","1039,635648","19,4293308488864"
24,"float",15000,"6,437447","1048,552314","19,5959702347841"
32,"float",15000,"5,627829","1199,396741","22,4150413596433"
32,"float",15000,"5,482811","1231,120276","23,0079095923606"
32,"float",15000,"5,534465","1219,630108","22,7931732877523"
32,"float",15000,"5,373224","1256,229117","23,4771563217912"
32,"float",15000,"5,550097","1216,195039","22,7289756917762"
48,"float",15000,"3,797757","1777,36508","33,2164537646827"
48,"float",15000,"5,165043","1306,862202","24,423421024762"
48,"float",15000,"5,011872","1346,802048","25,169840690265"
48,"float",15000,"4,996039","1351,070206","25,2496066984265"
48,"float",15000,"3,809607","1771,836157","33,113132089478"
64,"float",15000,"4,837261","1395,417777","26,0783984573088"
64,"float",15000,"4,855968","1390,042067","25,9779347392734"
64,"float",15000,"4,834987","1396,073933","26,0906636977514"
64,"float",15000,"5,055662","1335,136703","24,9518302054212"
64,"float",15000,"5,020015","1344,617373","25,1290125228709"
