"threads","type","size","time","Gflops","speedup"
1,"float",15000,"69,337987","97,349235",1
1,"float",15000,"72,541987","93,049561",1
1,"float",15000,"69,957308","96,487418",1
1,"float",15000,"69,821786","96,674697",1
1,"float",15000,"69,811132","96,68945",1
2,"float",15000,"38,122504","177,060771","1,84389881630021"
2,"float",15000,"37,830474","178,427584","1,85813267896141"
2,"float",15000,"37,752366","178,796741","1,86197707449647"
2,"float",15000,"37,483373","180,079847","1,87533923374505"
2,"float",15000,"38,861647","173,693103","1,80882812300776"
4,"float",15000,"19,221254","351,173766","3,65709958361718"
4,"float",15000,"19,550424","345,261053","3,59552508937914"
4,"float",15000,"18,959333","356,025174","3,70762199282011"
4,"float",15000,"19,191013","351,727136","3,66286240335515"
4,"float",15000,"19,124763","352,945545","3,67555090748053"
6,"float",15000,"13,002871","519,116132","5,40603994302489"
6,"float",15000,"13,311972","507,062377","5,28051290973268"
6,"float",15000,"13,14715","513,419255","5,34671316597133"
6,"float",15000,"12,682293","532,238131","5,54269168832482"
6,"float",15000,"12,678181","532,410779","5,54448938692388"
8,"float",15000,"9,592321","703,687849","7,32815759606043"
8,"float",15000,"10,034904","672,652205","7,00495390887646"
8,"float",15000,"9,529368","708,336574","7,37656893930426"
8,"float",15000,"9,867711","684,049193","7,12364194695203"
8,"float",15000,"9,609461","702,432719","7,31508666302928"
12,"float",15000,"6,482929","1041,196061","10,8429446011209"
12,"float",15000,"6,469724","1043,321186","10,8650755426352"
12,"float",15000,"6,491876","1039,761139","10,8280010277461"
12,"float",15000,"6,462032","1044,563026","10,8780086511487"
12,"float",15000,"6,485707","1040,750017","10,83830028091"
16,"float",15000,"4,904059","1376,410782","14,3338487567136"
16,"float",15000,"4,920494","1371,813485","14,2859720995494"
16,"float",15000,"4,921077","1371,650931","14,284279640412"
16,"float",15000,"4,916086","1373,043531","14,2987815916971"
16,"float",15000,"4,926989","1370,005002","14,2671396262504"
24,"float",15000,"4,465437","1511,610207","15,7418053373052"
24,"float",15000,"3,936603","1714,676195","17,8565224890597"
24,"float",15000,"3,880432","1739,497216","18,1150036903108"
24,"float",15000,"3,922055","1721,036751","17,9227573300221"
24,"float",15000,"3,894777","1733,090446","18,0482836372917"
32,"float",15000,"4,199275","1607,420517","16,739565758375"
32,"float",15000,"4,288523","1573,968648","16,3912004202846"
32,"float",15000,"4,030348","1674,793149","17,4411837389724"
32,"float",15000,"4,243311","1590,738869","16,5658468116054"
32,"float",15000,"4,189391","1611,212752","16,7790592952532"
48,"float",15000,"4,028244","1675,667956","17,4502934777536"
48,"float",15000,"3,943524","1711,666976","17,8251837696436"
48,"float",15000,"3,906429","1727,920963","17,9944496623387"
48,"float",15000,"3,931729","1716,80175","17,8786584731552"
48,"float",15000,"3,967817","1701,187447","17,7160489004407"
64,"float",15000,"4,554668","1481,995933","15,4334059035697"
64,"float",15000,"4,48189","1506,060932","15,6840172338009"
64,"float",15000,"4,289109","1573,753335","16,3889609706818"
64,"float",15000,"4,604729","1465,884289","15,2656193230915"
64,"float",15000,"4,766579","1416,109981","14,7472726246644"
