"type","size","time","Gflops"
"double",2000,"0,03815","419,395468"
"double",2000,"0,039168","408,495136"
"double",2000,"0,037587","425,681322"
"double",2000,"0,040898","391,218399"
"double",2000,"0,0369","433,602785"
"double",2000,"0,039245","407,699123"
"double",2000,"0,039433","405,74946"
"double",2000,"0,038803","412,343226"
"double",2000,"0,039423","405,850312"
"double",2000,"0,039451","405,561814"
"double",3000,"0,080807","668,257309"
"double",3000,"0,081802","660,128897"
"double",3000,"0,078633","686,737695"
"double",3000,"0,081157","665,379986"
"double",3000,"0,08454","638,751575"
"double",3000,"0,081001","666,661556"
"double",3000,"0,079967","675,279819"
"double",3000,"0,079399","680,110418"
"double",3000,"0,081352","663,779627"
"double",3000,"0,083662","645,453603"
"double",4000,"0,183722","696,704034"
"double",4000,"0,181481","705,307628"
"double",4000,"0,180128","710,606091"
"double",4000,"0,188853","677,775944"
"double",4000,"0,18718","683,833239"
"double",4000,"0,178162","718,448748"
"double",4000,"0,182269","702,259385"
"double",4000,"0,178412","717,440889"
"double",4000,"0,185606","689,631121"
"double",4000,"0,186561","686,102908"
"double",5000,"0,400998","623,443971"
"double",5000,"0,419315","596,209794"
"double",5000,"0,391855","637,991805"
"double",5000,"0,396482","630,544962"
"double",5000,"0,378444","660,600583"
"double",5000,"0,426356","586,364161"
"double",5000,"0,39509","632,766641"
"double",5000,"0,414358","603,343725"
"double",5000,"0,40165","622,431795"
"double",5000,"0,409662","610,259745"
"double",6000,"0,638136","676,971164"
"double",6000,"0,662158","652,412195"
"double",6000,"0,661143","653,414319"
"double",6000,"0,638237","676,864258"
"double",6000,"0,64098","673,967958"
"double",6000,"0,635998","679,247409"
"double",6000,"0,669233","645,515517"
"double",6000,"0,639141","675,90717"
"double",6000,"0,663193","651,394047"
"double",6000,"0,671167","643,654747"
"double",7000,"0,982941","697,905583"
"double",7000,"1,003339","683,717217"
"double",7000,"1,001666","684,858703"
"double",7000,"0,949671","722,355632"
"double",7000,"0,981112","699,206931"
"double",7000,"0,978027","701,412104"
