"type","size","time","Gflops"
"double",2000,"0,05619","284,747857"
"double",2000,"0,058946","271,434762"
"double",2000,"0,058423","273,864056"
"double",2000,"0,061117","261,793379"
"double",2000,"0,056991","280,747516"
"double",2000,"0,060918","262,64768"
"double",2000,"0,058844","271,90375"
"double",2000,"0,060449","264,686341"
"double",2000,"0,060649","263,813811"
"double",2000,"0,059913","267,054385"
"double",3000,"0,111124","485,943998"
"double",3000,"0,132894","406,339743"
"double",3000,"0,129386","417,35618"
"double",3000,"0,135922","397,288021"
"double",3000,"0,127721","422,797895"
"double",3000,"0,127096","424,874367"
"double",3000,"0,129795","416,041811"
"double",3000,"0,117002","461,530872"
"double",3000,"0,135429","398,733755"
"double",3000,"0,13415","402,533027"
"double",4000,"0,211936","603,955552"
"double",4000,"0,235481","543,569074"
"double",4000,"0,219331","583,592938"
"double",4000,"0,222944","574,135979"
"double",4000,"0,225194","568,397617"
"double",4000,"0,217538","588,402453"
"double",4000,"0,236779","540,58907"
"double",4000,"0,224805","569,382204"
"double",4000,"0,230984","554,150788"
"double",4000,"0,218613","585,509521"
"double",5000,"0,373352","669,609242"
"double",5000,"0,409407","610,639942"
"double",5000,"0,397641","628,707199"
"double",5000,"0,388612","643,315691"
"double",5000,"0,374293","667,926513"
"double",5000,"0,364994","684,941867"
"double",5000,"0,391772","638,125944"
"double",5000,"0,390121","640,826776"
"double",5000,"0,389003","642,668237"
"double",5000,"0,380405","657,193833"
"double",6000,"0,655146","659,394649"
"double",6000,"0,65421","660,338648"
"double",6000,"0,659217","655,323147"
"double",6000,"0,690946","625,230157"
"double",6000,"0,661933","652,63446"
"double",6000,"0,657327","657,20741"
"double",6000,"0,767396","562,942504"
"double",6000,"0,789332","547,298135"
"double",6000,"0,663349","651,240956"
"double",6000,"0,709121","609,205102"
"double",7000,"1,117894","613,653987"
"double",7000,"1,105983","620,262824"
"double",7000,"1,149481","596,791155"
"double",7000,"1,138141","602,737225"
"double",7000,"1,145434","598,899609"
"double",7000,"1,123607","610,533749"
"double",7000,"1,098448","624,517395"
"double",7000,"1,307218","524,778568"
"double",7000,"1,198579","572,344517"
"double",7000,"1,113127","616,281963"
"double",8000,"1,704913","600,617282"
"double",8000,"1,811808","565,181378"
"double",8000,"1,762568","580,970478"
"double",8000,"1,734274","590,4489"
"double",8000,"1,765846","579,891969"
"double",8000,"1,748071","585,788564"
"double",8000,"1,676168","610,917352"
"double",8000,"1,767219","579,441349"
"double",8000,"1,71664","596,514075"
"double",8000,"1,714704","597,187583"
"double",9000,"2,450074","595,083957"
"double",9000,"2,489116","585,750113"
"double",9000,"2,507367","581,486507"
"double",9000,"2,489828","585,582695"
"double",9000,"2,487594","586,108595"
"double",9000,"2,540386","573,928421"
"double",9000,"2,514718","579,786585"
"double",9000,"2,50032","583,125418"
"double",9000,"2,47221","589,755813"
"double",9000,"2,438207","597,980524"
"double",10000,"3,444055","580,710764"
"double",10000,"3,476375","575,31189"
"double",10000,"3,46222","577,663999"
"double",10000,"3,461506","577,783167"
"double",10000,"3,467411","576,799247"
"double",10000,"3,446936","580,225496"
"double",10000,"3,515828","568,85598"
"double",10000,"3,468999","576,535153"
"double",10000,"3,470728","576,247901"
"double",10000,"3,464679","577,25406"
"double",11000,"4,612188","577,166386"
"double",11000,"4,588185","580,185872"
"double",11000,"4,566827","582,899278"
"double",11000,"4,602008","578,443178"
"double",11000,"4,618387","576,391666"
"double",11000,"4,627174","575,297167"
"double",11000,"4,669986","570,023077"
"double",11000,"4,638406","573,904113"
"double",11000,"4,565078","583,122509"
"double",11000,"4,590384","579,907894"
"double",12000,"5,751966","600,838001"
"double",12000,"5,71979","604,217992"
"double",12000,"5,737651","602,337112"
"double",12000,"5,691581","607,212622"
"double",12000,"5,774083","598,536646"
"double",12000,"5,716881","604,525396"
"double",12000,"5,695616","606,782439"
"double",12000,"4,084755","846,072697"
"double",12000,"5,687128","607,688068"
"double",12000,"5,723283","603,849181"
"double",13000,"7,377521","595,593049"
"double",13000,"7,271185","604,303171"
"double",13000,"7,415362","592,553653"
"double",13000,"7,159703","613,712579"
"double",13000,"7,287451","602,954306"
"double",13000,"6,58851","666,918576"
"double",13000,"6,678384","657,943619"
"double",13000,"6,676266","658,152352"
"double",13000,"7,048906","623,359153"
"double",13000,"7,32071","600,214983"
"double",14000,"9,080001","604,405201"
"double",14000,"9,188325","597,279693"
"double",14000,"9,075915","604,67732"
"double",14000,"9,129349","601,138131"
"double",14000,"9,122958","601,559299"
"double",14000,"9,041796","606,959069"
"double",14000,"8,937319","614,054359"
"double",14000,"8,774599","625,441657"
"double",14000,"9,520326","576,450821"
"double",14000,"9,178203","597,938396"
"double",15000,"11,507197","586,589428"
"double",15000,"11,439154","590,078619"
"double",15000,"11,529602","585,449529"
"double",15000,"11,629225","580,434186"
"double",15000,"11,471775","588,400676"
"double",15000,"11,617552","581,017397"
"double",15000,"11,6025","581,771158"
"double",15000,"11,620035","580,89324"
"double",15000,"11,552396","584,294374"
"double",15000,"11,505175","586,692519"
"double",16000,"9,730169","841,917538"
"double",16000,"9,754642","839,805319"
"double",16000,"9,787597","836,977634"
"double",16000,"9,793818","836,446019"
"double",16000,"9,203574","890,089034"
"double",16000,"9,072422","902,956223"
"double",16000,"9,833224","833,094012"
"double",16000,"9,729879","841,942666"
"double",16000,"9,104105","899,813849"
"double",16000,"9,705827","844,029081"
"double",17000,"16,485427","596,041573"
"double",17000,"10,584943","928,299755"
"double",17000,"10,523549","933,715462"
"double",17000,"10,533675","932,817832"
"double",17000,"10,521179","933,92575"
"double",17000,"10,462454","939,167802"
"double",17000,"10,540992","932,170369"
"double",17000,"10,526684","933,437359"
