"type","size","time","Gflops"
"double",2000,"0,061017","262,221501"
"double",2000,"0,065822","243,081358"
"double",2000,"0,065916","242,734715"
"double",2000,"0,067074","238,541691"
"double",2000,"0,066152","241,866535"
"double",2000,"0,06428","248,909965"
"double",2000,"0,066324","241,239868"
"double",2000,"0,065525","244,181875"
"double",2000,"0,066689","239,919756"
"double",2000,"0,067701","236,331551"
"double",3000,"0,160448","336,558278"
"double",3000,"0,168327","320,804925"
"double",3000,"0,172623","312,819681"
"double",3000,"0,17828","302,895039"
"double",3000,"0,177936","303,479538"
"double",3000,"0,181874","296,908204"
"double",3000,"0,180226","299,624511"
"double",3000,"0,175916","306,964552"
"double",3000,"0,180012","299,979358"
"double",3000,"0,172379","313,263109"
"double",4000,"0,317114","403,639741"
"double",4000,"0,313236","408,637411"
"double",4000,"0,320019","399,976194"
"double",4000,"0,325009","393,835535"
"double",4000,"0,315311","405,948364"
"double",4000,"0,318393","402,019267"
"double",4000,"0,328548","389,593063"
"double",4000,"0,317581","403,04632"
"double",4000,"0,326001","392,636702"
"double",4000,"0,331543","386,073609"
"double",5000,"0,610162","409,727175"
"double",5000,"0,582583","429,123038"
"double",5000,"0,586268","426,426044"
"double",5000,"0,59129","422,804714"
"double",5000,"0,602099","415,214149"
"double",5000,"0,608608","410,773204"
"double",5000,"0,602504","414,935133"
"double",5000,"0,621958","401,956093"
"double",5000,"0,589048","424,413328"
"double",5000,"0,59179","422,447106"
"double",6000,"0,989509","436,580321"
"double",6000,"1,003417","430,528879"
"double",6000,"1,010644","427,450352"
"double",6000,"1,021125","423,062958"
"double",6000,"1,004935","429,878631"
"double",6000,"1,011103","427,256267"
"double",6000,"1,019789","423,617107"
"double",6000,"1,023637","422,024796"
"double",6000,"1,014865","425,672389"
"double",6000,"1,010871","427,35434"
"double",7000,"1,493419","459,348516"
"double",7000,"1,495042","458,850133"
"double",7000,"1,504554","455,948978"
"double",7000,"1,475728","464,855441"
"double",7000,"1,487996","461,022826"
"double",7000,"1,488029","461,01257"
"double",7000,"1,49868","457,736255"
"double",7000,"1,477728","464,226311"
"double",7000,"1,493389","459,357847"
"double",7000,"1,495225","458,793885"
"double",8000,"2,013253","508,629536"
"double",8000,"1,980743","516,977801"
"double",8000,"2,008378","509,864128"
"double",8000,"1,973332","518,919221"
"double",8000,"2,023655","506,015127"
"double",8000,"2,021205","506,628518"
"double",8000,"1,988984","514,835643"
"double",8000,"2,014116","508,411702"
"double",8000,"1,990759","514,376648"
"double",8000,"1,999407","512,15198"
"double",9000,"2,613356","557,90338"
"double",9000,"2,13959","681,438978"
"double",9000,"2,641297","552,001632"
"double",9000,"2,619005","556,700007"
"double",9000,"2,647111","550,789041"
"double",9000,"2,61492","557,569708"
"double",9000,"2,606759","559,315272"
"double",9000,"2,608334","558,977397"
"double",9000,"2,607296","559,2001"
"double",9000,"2,637538","552,788184"
"double",10000,"3,349557","597,093836"
"double",10000,"3,353965","596,309092"
"double",10000,"3,327513","601,049513"
"double",10000,"3,283478","609,11024"
"double",10000,"3,376814","592,274242"
"double",10000,"3,3299","600,618669"
"double",10000,"3,274477","610,784516"
"double",10000,"3,281463","609,48422"
"double",10000,"3,303031","605,504396"
"double",10000,"3,344069","598,073744"
"double",11000,"3,893755","683,658775"
"double",11000,"3,929522","677,43615"
"double",11000,"3,930162","677,325784"
