"type","size","time","Gflops"
"double",2000,"0,046813","341,78584"
"double",2000,"0,042733","374,417459"
"double",2000,"0,042","380,956599"
"double",2000,"0,041589","384,714245"
"double",2000,"0,041736","383,36384"
"double",2000,"0,042002","380,935157"
"double",2000,"0,046608","343,292072"
"double",2000,"0,041753","383,208191"
"double",2000,"0,04204","380,588095"
"double",2000,"0,042328","377,996958"
"double",3000,"0,078651","686,577682"
"double",3000,"0,079877","676,042161"
"double",3000,"0,080939","667,167034"
"double",3000,"0,077391","697,758231"
"double",3000,"0,077521","696,585468"
"double",3000,"0,076351","707,258697"
"double",3000,"0,078056","691,815288"
"double",3000,"0,079308","680,892958"
"double",3000,"0,077498","696,796482"
"double",3000,"0,080462","671,120904"
"double",4000,"0,198068","646,241533"
"double",4000,"0,205571","622,655429"
"double",4000,"0,207533","616,770484"
"double",4000,"0,197104","649,402787"
"double",4000,"0,192079","666,39262"
"double",4000,"0,196688","650,776696"
"double",4000,"0,205513","622,832812"
"double",4000,"0,19737","648,52873"
"double",4000,"0,209923","609,748116"
"double",4000,"0,20661","619,525047"
"double",5000,"0,426798","585,75677"
"double",5000,"0,425582","587,430419"
"double",5000,"0,427329","585,029981"
"double",5000,"0,422953","591,082349"
"double",5000,"0,426621","585,999742"
"double",5000,"0,4279","584,248674"
"double",5000,"0,422901","591,154623"
"double",5000,"0,429323","582,312195"
"double",5000,"0,431395","579,514936"
"double",5000,"0,428829","582,983317"
"double",6000,"0,759326","568,925922"
"double",6000,"0,76405","565,407774"
"double",6000,"0,761291","567,45737"
"double",6000,"0,770506","560,670364"
"double",6000,"0,758506","569,540792"
"double",6000,"0,768736","561,961622"
"double",6000,"0,763422","565,873397"
"double",6000,"0,762791","566,341307"
"double",6000,"0,768857","561,872725"
"double",6000,"0,76975","561,22108"
"double",7000,"1,230664","557,42257"
"double",7000,"1,232398","556,638474"
"double",7000,"1,224337","560,303145"
"double",7000,"1,22926","558,059174"
"double",7000,"1,234636","555,629151"
"double",7000,"1,230308","557,584055"
"double",7000,"1,227852","558,69903"
"double",7000,"1,228234","558,525387"
"double",7000,"1,23792","554,155344"
"double",7000,"1,227256","558,970357"
"double",8000,"1,811638","565,234427"
"double",8000,"1,819265","562,864745"
"double",8000,"1,81221","565,055777"
"double",8000,"1,807552","566,512197"
"double",8000,"1,809539","565,89004"
"double",8000,"1,801325","568,470403"
"double",8000,"1,818625","563,062651"
"double",8000,"1,815442","564,050112"
"double",8000,"1,828116","560,139553"
"double",8000,"1,819238","562,873163"
"double",9000,"2,639921","552,289328"
"double",9000,"2,645464","551,132101"
