"type","size","time","Gflops"
"double",2000,"0,064592","247,709546"
"double",2000,"0,066347","241,156297"
"double",2000,"0,067109","238,417265"
"double",2000,"0,067081","238,518676"
"double",2000,"0,065577","243,988441"
"double",2000,"0,06581","243,125087"
"double",2000,"0,066735","239,754317"
"double",2000,"0,06813","234,846045"
"double",2000,"0,06936","230,682044"
"double",3000,"0,152798","353,407709"
"double",3000,"0,156203","345,70495"
"double",3000,"0,171719","314,466614"
"double",3000,"0,16316","330,96348"
"double",3000,"0,167411","322,559652"
"double",3000,"0,164973","327,326012"
"double",3000,"0,166166","324,976588"
"double",3000,"0,170185","317,301719"
"double",3000,"0,166052","325,198818"
"double",3000,"0,160306","336,856547"
"double",4000,"0,314247","407,323172"
"double",4000,"0,33856","378,071761"
"double",4000,"0,335029","382,056195"
"double",4000,"0,332137","385,383069"
"double",4000,"0,330483","387,312108"
"double",4000,"0,328017","390,223144"
"double",4000,"0,324763","394,133857"
"double",4000,"0,337075","379,737612"
"double",4000,"0,329802","388,111665"
"double",4000,"0,335858","381,113505"
"double",5000,"0,608453","410,877745"
"double",5000,"0,625052","399,966686"
"double",5000,"0,612092","408,435504"
"double",5000,"0,629354","397,232882"
"double",5000,"0,619489","403,558438"
"double",5000,"0,616851","405,284024"
"double",5000,"0,633867","394,404804"
"double",5000,"0,640677","390,212362"
"double",5000,"0,652871","382,924257"
"double",5000,"0,65378","382,391541"
"double",6000,"1,021555","422,884711"
"double",6000,"0,984425","438,834825"
"double",6000,"0,996391","433,564939"
"double",6000,"0,999738","432,113012"
"double",6000,"0,989439","436,611053"
"double",6000,"0,986262","438,017546"
"double",6000,"1,010928","427,330138"
"double",6000,"1,00177","431,236773"
"double",6000,"1,009494","427,937268"
"double",6000,"1,011357","427,148793"
"double",7000,"1,48941","460,585102"
"double",7000,"1,460779","469,612486"
"double",7000,"1,490981","460,099641"
"double",7000,"1,493454","459,337996"
"double",7000,"1,487265","461,249249"
"double",7000,"1,476967","464,465215"
"double",7000,"1,499133","457,597712"
"double",7000,"1,50653","455,350924"
"double",7000,"1,487436","461,196227"
"double",7000,"1,483247","462,498789"
"double",8000,"2,024123","505,898184"
"double",8000,"2,007274","510,14452"
"double",8000,"2,000891","511,772101"
"double",8000,"2,004488","510,853689"
"double",8000,"1,971116","519,502604"
"double",8000,"1,986533","515,471035"
"double",8000,"1,993749","513,605329"
"double",8000,"1,979192","517,3829"
"double",8000,"1,988482","514,965816"
"double",8000,"1,989061","514,815663"
"double",9000,"2,578223","565,505798"
"double",9000,"2,604282","559,8472"
"double",9000,"2,5805","565,006691"
"double",9000,"2,604707","559,755852"
"double",9000,"2,578049","565,544025"
"double",9000,"2,575891","566,017717"
"double",9000,"2,625665","555,287996"
"double",9000,"2,602623","560,204045"
"double",9000,"2,576859","565,80516"
"double",9000,"2,604136","559,878618"
"double",10000,"3,296333","606,734813"
"double",10000,"3,279173","609,909835"
"double",10000,"3,339981","598,805841"
"double",10000,"3,27452","610,776632"
"double",10000,"3,291396","607,644933"
"double",10000,"3,303382","605,440085"
"double",10000,"3,27667","610,375769"
"double",10000,"3,358735","595,462335"
"double",10000,"3,353283","596,430429"
"double",10000,"3,294962","606,987231"
"double",11000,"3,944321","674,894405"
"double",11000,"2,712521","981,374831"
"double",11000,"3,879895","686,101051"
"double",11000,"3,922692","678,615603"
"double",11000,"3,841646","692,932121"
"double",11000,"3,928086","677,683778"
"double",11000,"3,918695","679,307825"
"double",11000,"3,906505","681,427551"
"double",11000,"3,827216","695,544764"
"double",11000,"3,875422","686,892988"
"double",12000,"4,634042","745,785202"
"double",12000,"4,597417","751,726493"
"double",12000,"4,585342","753,706123"
"double",12000,"4,647144","743,682567"
"double",12000,"4,618294","748,328312"
"double",12000,"4,586229","753,560284"
"double",12000,"4,627681","746,810296"
"double",12000,"4,689116","737,025856"
"double",12000,"4,699921","735,331494"
"double",12000,"4,63474","745,672934"
"double",13000,"5,450273","806,198159"
"double",13000,"4,470038","982,9895"
"double",13000,"5,494956","799,642492"
"double",13000,"5,345279","822,033868"
"double",13000,"5,405462","812,881525"
"double",13000,"5,44534","806,928448"
"double",13000,"5,362885","819,335091"
"double",13000,"6,283905","699,246703"
"double",13000,"6,316482","695,64042"
"double",13000,"5,418577","810,913986"
"double",14000,"7,759693","707,244462"
"double",14000,"7,733968","709,596947"
"double",14000,"7,729013","710,051886"
"double",14000,"7,775023","705,849962"
"double",14000,"7,710373","711,768445"
"double",14000,"7,729976","709,963423"
"double",14000,"7,644329","717,917776"
"double",14000,"7,74765","708,34383"
"double",14000,"7,820172","701,774834"
"double",14000,"7,577446","724,254561"
"double",15000,"9,10379","741,449407"
"double",15000,"9,09996","741,761543"
"double",15000,"9,073881","743,893383"
"double",15000,"9,078462","743,518031"
"double",15000,"9,157894","737,069008"
"double",15000,"9,110851","740,874837"
