"type","size","time","Gflops"
"float",2000,"0,021265","752,407587"
"float",2000,"0,022002","727,190555"
"float",2000,"0,021229","753,691925"
"float",2000,"0,021491","744,508956"
"float",2000,"0,02258","708,585053"
"float",2000,"0,022487","711,515663"
"float",2000,"0,022134","722,868389"
"float",2000,"0,022533","710,061987"
"float",2000,"0,022579","708,63379"
"float",2000,"0,022223","719,973473"
"float",3000,"0,044873","1203,402903"
"float",3000,"0,046397","1163,863437"
"float",3000,"0,045167","1195,56885"
"float",3000,"0,044393","1216,401663"
"float",3000,"0,044369","1217,058399"
"float",3000,"0,051512","1048,306568"
"float",3000,"0,045125","1196,684201"
"float",3000,"0,045357","1190,551466"
"float",3000,"0,044038","1226,222941"
"float",3000,"0,044582","1211,25854"
"float",4000,"0,074475","1718,700711"
"float",4000,"0,075345","1698,844394"
"float",4000,"0,074421","1719,941612"
"float",4000,"0,076358","1676,307245"
"float",4000,"0,084687","1511,455891"
"float",4000,"0,074551","1716,954613"
"float",4000,"0,075992","1684,398736"
"float",4000,"0,084184","1520,474508"
"float",4000,"0,083977","1524,22983"
"float",4000,"0,075451","1696,461321"
"float",5000,"0,133774","1868,819627"
"float",5000,"0,134903","1853,180088"
"float",5000,"0,134833","1854,148538"
"float",5000,"0,135165","1849,594894"
"float",5000,"0,127173","1965,822617"
"float",5000,"0,145783","1714,872263"
"float",5000,"0,134751","1855,280658"
"float",5000,"0,128367","1947,536635"
"float",5000,"0,135155","1849,723669"
"float",5000,"0,129878","1924,888154"
"float",6000,"0,25192","1714,830289"
"float",6000,"0,253599","1703,475298"
"float",6000,"0,257947","1674,76097"
"float",6000,"0,240798","1794,036198"
"float",6000,"0,25245","1711,231316"
"float",6000,"0,259724","1663,301721"
"float",6000,"0,228894","1887,332992"
"float",6000,"0,256145","1686,543605"
"float",6000,"0,238543","1810,991542"
"float",6000,"0,251176","1719,906807"
"float",7000,"0,421356","1628,075251"
"float",7000,"0,416368","1647,579649"
"float",7000,"0,424515","1615,96321"
"float",7000,"0,429408","1597,548718"
"float",7000,"0,443207","1547,809817"
"float",7000,"0,439165","1562,056249"
"float",7000,"0,434846","1577,569664"
"float",7000,"0,429595","1596,851753"
"float",7000,"0,433931","1580,896899"
"float",7000,"0,428699","1600,192079"
"float",8000,"0,618945","1654,4278"
