"type","size","time","Gflops"
"float",2000,"0,033333","480,006514"
"float",2000,"0,035575","449,757644"
"float",2000,"0,034354","465,739287"
"float",2000,"0,033836","472,869203"
"float",2000,"0,034029","470,192789"
"float",2000,"0,034483","463,995299"
"float",2000,"0,035128","455,474571"
"float",2000,"0,034459","464,313489"
"float",2000,"0,034673","461,453931"
"float",2000,"0,035344","452,687673"
"float",3000,"0,087614","616,340262"
"float",3000,"0,088405","610,82643"
"float",3000,"0,08916","605,652644"
"float",3000,"0,088923","607,264414"
"float",3000,"0,088948","607,09897"
"float",3000,"0,087805","614,998775"
"float",3000,"0,089195","605,417199"
"float",3000,"0,090234","598,442288"
"float",3000,"0,089417","603,910995"
"float",3000,"0,089596","602,708122"
"float",4000,"0,158415","808,006496"
"float",4000,"0,161835","790,929776"
"float",4000,"0,159795","801,027348"
"float",4000,"0,16244","787,984808"
"float",4000,"0,160562","797,201851"
"float",4000,"0,164189","779,587457"
"float",4000,"0,161919","790,52061"
"float",4000,"0,160521","797,404255"
"float",4000,"0,160459","797,713897"
"float",4000,"0,163531","782,727317"
"float",5000,"0,279307","895,072242"
"float",5000,"0,278056","899,099662"
"float",5000,"0,284318","879,296534"
"float",5000,"0,280662","890,75234"
"float",5000,"0,278759","896,833073"
"float",5000,"0,284733","878,016525"
"float",5000,"0,280422","891,513193"
"float",5000,"0,282441","885,1403"
"float",5000,"0,276335","904,697576"
"float",5000,"0,282143","886,074747"
"float",6000,"0,438804","984,494593"
"float",6000,"0,443817","973,374617"
"float",6000,"0,444822","971,17602"
"float",6000,"0,445757","969,138585"
"float",6000,"0,447152","966,115101"
"float",6000,"0,448544","963,115542"
"float",6000,"0,440367","980,999901"
"float",6000,"0,445101","970,566907"
"float",6000,"0,448282","963,67924"
"float",6000,"0,446456","967,620343"
"float",7000,"0,680662","1007,841724"
"float",7000,"0,693516","989,162569"
"float",7000,"0,677045","1013,226302"
"float",7000,"0,678934","1010,407203"
"float",7000,"0,681404","1006,745265"
"float",7000,"0,691657","991,820989"
"float",7000,"0,697297","983,799187"
"float",7000,"0,690599","993,340972"
"float",7000,"0,682777","1004,720991"
"float",7000,"0,67981","1009,105436"
"float",8000,"0,958992","1067,787417"
"float",8000,"0,973046","1052,36589"
"float",8000,"0,956399","1070,682816"
"float",8000,"0,963421","1062,879453"
"float",8000,"0,986466","1038,04868"
"float",8000,"0,95987","1066,811214"
"float",8000,"0,957454","1069,503393"
"float",8000,"0,962183","1064,247075"
"float",8000,"0,964801","1061,358272"
"float",8000,"0,957281","1069,696591"
"float",9000,"1,320856","1103,829481"
"float",9000,"1,318379","1105,903915"
"float",9000,"1,334904","1092,212996"
"float",9000,"1,332924","1093,835837"
"float",9000,"1,342352","1086,153333"
"float",9000,"1,337424","1090,155583"
"float",9000,"1,338681","1089,132019"
"float",9000,"1,342781","1085,806584"
"float",9000,"1,318751","1105,591302"
"float",9000,"1,339533","1088,438908"
"float",10000,"1,661001","1204,093497"
"float",10000,"1,687463","1185,211157"
"float",10000,"1,667028","1199,74007"
"float",10000,"1,653526","1209,536352"
"float",10000,"1,661896","1203,444454"
"float",10000,"1,641657","1218,281329"
"float",10000,"1,662672","1202,88302"
"float",10000,"1,691055","1182,693866"
"float",10000,"1,679722","1190,672992"
"float",10000,"1,660349","1204,566205"
"float",11000,"2,242551","1187,040858"
"float",11000,"2,23739","1189,77903"
"float",11000,"2,25278","1181,651087"
"float",11000,"2,324832","1145,028851"
"float",11000,"2,310433","1152,164934"
"float",11000,"2,242854","1186,880905"
"float",11000,"2,245419","1185,524682"
"float",11000,"2,223951","1196,968677"
"float",11000,"2,285677","1164,644055"
"float",11000,"2,321329","1146,756947"
"float",12000,"2,589632","1334,552585"
"float",12000,"2,627063","1315,537769"
"float",12000,"2,582387","1338,296607"
"float",12000,"2,607121","1325,599931"
"float",12000,"2,58741","1335,698435"
"float",12000,"2,617104","1320,54385"
"float",12000,"2,618795","1319,690781"
"float",12000,"2,597281","1330,622251"
"float",12000,"2,594226","1332,189227"
"float",12000,"2,579577","1339,754606"
"float",13000,"3,156942","1391,853268"
"float",13000,"3,186697","1378,856993"
"float",13000,"3,350271","1311,535801"
"float",13000,"3,382622","1298,992428"
"float",13000,"3,242685","1355,049865"
"float",13000,"3,225063","1362,454055"
"float",13000,"3,312567","1326,463614"
"float",13000,"3,281074","1339,195523"
"float",13000,"3,19463","1375,433256"
"float",13000,"3,370726","1303,576729"
"float",14000,"3,72256","1474,254203"
"float",14000,"3,615917","1517,734055"
"float",14000,"3,67569","1493,05283"
"float",14000,"3,609597","1520,39143"
"float",14000,"3,773207","1454,465503"
"float",14000,"3,720283","1475,156724"
"float",14000,"3,58633","1530,2552"
"float",14000,"3,610236","1520,12212"
"float",14000,"3,678373","1491,963994"
"float",14000,"3,692029","1486,445681"
"float",15000,"3,883468","1738,136944"
"float",15000,"4,091063","1649,938083"
"float",15000,"3,527644","1913,458423"
"float",15000,"4,187652","1611,88175"
"float",15000,"4,149902","1626,544329"
"float",15000,"3,381857","1995,944762"
"float",15000,"4,011042","1682,854532"
"float",15000,"4,335871","1556,780525"
"float",15000,"4,167976","1619,490902"
"float",15000,"4,159255","1622,886729"
"float",16000,"5,111724","1602,59031"
"float",16000,"5,083826","1611,384905"
"float",16000,"5,115595","1601,377764"
"float",16000,"5,115488","1601,411179"
"float",16000,"5,161572","1587,113412"
"float",16000,"5,119368","1600,197433"
"float",16000,"5,205598","1573,690388"
"float",16000,"5,018168","1632,468196"
"float",16000,"5,098978","1606,596318"
"float",16000,"5,127415","1597,686183"
"float",17000,"6,046279","1625,131719"
"float",17000,"6,041811","1626,333603"
"float",17000,"6,054782","1622,849474"
"float",17000,"6,026563","1630,448492"
"float",17000,"4,887453","2010,453964"
"float",17000,"6,002342","1637,027685"
"float",17000,"6,07439","1617,611091"
"float",17000,"6,080861","1615,889515"
"float",17000,"6,089159","1613,687461"
"float",17000,"6,104914","1609,523025"
"float",18000,"5,566628","2095,343732"
"float",18000,"5,967587","1954,558956"
"float",18000,"5,410219","2155,920046"
"float",18000,"5,45433","2138,48438"
"float",18000,"5,968194","1954,360029"
"float",18000,"5,490201","2124,512446"
"float",18000,"5,398457","2160,617471"
"float",18000,"5,892625","1979,423539"
"float",18000,"5,597054","2083,953434"
"float",18000,"5,778393","2018,554184"
"float",19000,"7,870052","1743,06345"
"float",19000,"7,269404","1887,087265"
"float",19000,"7,785271","1762,045165"
"float",19000,"7,795779","1759,670094"
"float",19000,"7,917577","1732,600805"
"float",19000,"7,835058","1750,848588"
"float",19000,"7,830969","1751,762854"
"float",19000,"8,036116","1707,043513"
"float",19000,"7,322346","1873,443314"
"float",19000,"7,453112","1840,573464"
"float",20000,"6,865996","2330,324706"
"float",20000,"6,550113","2442,705941"
"float",20000,"7,220342","2215,961583"
"float",20000,"6,551468","2442,200869"
"float",20000,"7,093293","2255,651971"
"float",20000,"7,045563","2270,932784"
"float",20000,"7,049602","2269,631717"
"float",20000,"8,622477","1855,615275"
"float",20000,"7,111318","2249,934689"
"float",20000,"6,604114","2422,732242"
