"type","size","time","Gflops"
"float",2000,"0,031099","514,477824"
"float",2000,"0,030932","517,259829"
"float",2000,"0,033331","480,034855"
"float",2000,"0,033121","483,070653"
"float",2000,"0,032465","492,844908"
"float",2000,"0,032432","493,337934"
"float",2000,"0,032634","490,279714"
"float",2000,"0,032781","488,089607"
"float",2000,"0,03301","484,70814"
"float",2000,"0,034342","465,897918"
"float",3000,"0,074488","724,950756"
"float",3000,"0,074269","727,084851"
"float",3000,"0,074845","721,492643"
"float",3000,"0,075801","712,391704"
"float",3000,"0,079047","683,137647"
"float",3000,"0,075734","713,024642"
"float",3000,"0,07626","708,105202"
"float",3000,"0,075907","711,393064"
"float",3000,"0,075347","716,686015"
"float",3000,"0,076723","703,828599"
"float",4000,"0,13608","940,620612"
"float",4000,"0,138306","925,484821"
"float",4000,"0,141905","902,011948"
"float",4000,"0,144788","884,049546"
"float",4000,"0,139018","920,743182"
"float",4000,"0,139378","918,367675"
"float",4000,"0,139437","917,974543"
"float",4000,"0,138605","923,490694"
"float",4000,"0,139207","919,491884"
"float",4000,"0,136476","937,892798"
"float",5000,"0,245358","1018,918484"
"float",5000,"0,253735","985,281165"
"float",5000,"0,248789","1004,869336"
"float",5000,"0,254865","980,912467"
"float",5000,"0,255212","979,578481"
"float",5000,"0,252598","989,715537"
"float",5000,"0,257686","970,174752"
"float",5000,"0,269987","925,970472"
"float",5000,"0,264079","946,68648"
"float",5000,"0,261359","956,537924"
"float",6000,"0,443872","973,25373"
"float",6000,"0,45797","943,294106"
"float",6000,"0,455711","947,969026"
"float",6000,"0,48602","888,852658"
"float",6000,"0,46257","933,913109"
"float",6000,"0,456474","946,384478"
"float",6000,"0,478608","902,617861"
"float",6000,"0,453984","951,575422"
"float",6000,"0,470174","918,80791"
"float",6000,"0,443036","975,090342"
"float",7000,"0,731421","937,900408"
"float",7000,"0,731554","937,730293"
"float",7000,"0,728583","941,553796"
"float",7000,"0,728743","941,347164"
"float",7000,"0,782543","876,62946"
"float",7000,"0,962155","712,982677"
"float",7000,"0,736499","931,433476"
"float",7000,"0,727843","942,510617"
"float",7000,"0,731222","938,155334"
"float",7000,"0,768441","892,716589"
"float",8000,"0,987464","1036,999645"
"float",8000,"1,007571","1016,305729"
"float",8000,"1,012098","1011,75942"
"float",8000,"1,030218","993,964564"
"float",8000,"1,026316","997,742997"
"float",8000,"1,003062","1020,873608"
"float",8000,"1,013993","1009,868937"
"float",8000,"1,014665","1009,199735"
"float",8000,"1,008599","1015,269525"
"float",8000,"1,021444","1002,502086"
"float",9000,"1,393254","1046,471322"
"float",9000,"1,381468","1055,398954"
"float",9000,"1,36284","1069,825022"
"float",9000,"1,388685","1049,91383"
"float",9000,"1,400633","1040,95763"
"float",9000,"1,401207","1040,531217"
"float",9000,"1,383779","1053,636559"
"float",9000,"1,387825","1050,564605"
"float",9000,"1,379352","1057,018406"
"float",9000,"1,384063","1053,4206"
"float",10000,"1,756167","1138,844122"
"float",10000,"1,782096","1122,273972"
"float",10000,"1,742722","1147,629667"
"float",10000,"1,766017","1132,491721"
"float",10000,"1,794306","1114,63678"
"float",10000,"1,762165","1134,967231"
"float",10000,"1,786519","1119,495635"
"float",10000,"1,757557","1137,942949"
"float",10000,"1,7715","1128,986729"
"float",10000,"1,713152","1167,438552"
"float",11000,"2,441567","1090,283536"
"float",11000,"2,395148","1111,413416"
"float",11000,"2,395043","1111,462348"
"float",11000,"2,39572","1111,148267"
"float",11000,"2,455964","1083,892152"
"float",11000,"2,438258","1091,762972"
"float",11000,"2,454273","1084,638694"
"float",11000,"1,924039","1383,547834"
"float",11000,"2,409467","1104,808523"
"float",11000,"2,43078","1095,121923"
"float",12000,"2,801351","1233,690493"
"float",12000,"2,859168","1208,743174"
"float",12000,"2,794661","1236,643622"
"float",12000,"2,80301","1232,96007"
"float",12000,"2,79943","1234,536906"
"float",12000,"2,797044","1235,590115"
"float",12000,"2,548395","1356,147764"
"float",12000,"2,634848","1311,650539"
"float",12000,"2,800746","1233,956754"
"float",12000,"2,813343","1228,431629"
"float",13000,"3,320794","1323,17742"
"float",13000,"3,39904","1292,718031"
"float",13000,"3,371805","1303,159625"
"float",13000,"2,864503","1533,948713"
"float",13000,"3,389959","1296,180942"
"float",13000,"3,339045","1315,944972"
"float",13000,"3,687422","1191,618571"
"float",13000,"3,359579","1307,902031"
"float",13000,"3,424699","1283,032624"
"float",13000,"3,401079","1291,94292"
"float",14000,"3,892939","1409,731857"
"float",14000,"3,872179","1417,289674"
"float",14000,"3,869645","1418,217988"
"float",14000,"3,916122","1401,386323"
"float",14000,"3,935353","1394,538345"
"float",14000,"3,939866","1392,940749"
"float",14000,"3,896754","1408,351626"
"float",14000,"3,87876","1414,885246"
"float",14000,"3,15856","1737,500805"
"float",14000,"3,925466","1398,050425"
"float",15000,"4,783765","1411,022529"
"float",15000,"4,468772","1510,482145"
"float",15000,"3,496705","1930,388653"
"float",15000,"4,572815","1476,114926"
"float",15000,"3,612093","1868,72271"
"float",15000,"4,542928","1485,825913"
"float",15000,"4,568217","1477,600654"
"float",15000,"4,522792","1492,440812"
"float",15000,"4,65051","1451,453853"
"float",15000,"4,510207","1496,605256"
"float",16000,"5,595614","1464,003864"
"float",16000,"5,750082","1424,675388"
"float",16000,"5,632077","1454,525481"
"float",16000,"5,628136","1455,544002"
"float",16000,"5,715869","1433,20281"
"float",16000,"5,579821","1468,147373"
"float",16000,"5,596963","1463,651026"
"float",16000,"5,736937","1427,939758"
"float",16000,"5,61918","1457,863896"
"float",16000,"5,691724","1439,282753"
"float",17000,"6,767898","1451,854103"
"float",17000,"6,633547","1481,258852"
"float",17000,"6,704937","1465,487283"
"float",17000,"6,716104","1463,050564"
"float",17000,"6,840217","1436,504162"
"float",17000,"6,632299","1481,537538"
"float",17000,"6,594399","1490,052326"
"float",17000,"4,166993","2358,055171"
"float",17000,"6,711169","1464,126534"
"float",17000,"6,793932","1446,290648"
"float",18000,"6,41824","1817,320769"
"float",18000,"6,415971","1817,963434"
"float",18000,"6,296701","1852,398635"
"float",18000,"6,327806","1843,293014"
"float",18000,"4,535748","2571,571385"
"float",18000,"7,636799","1527,341421"
"float",18000,"6,462555","1804,85888"
"float",18000,"6,241821","1868,685505"
"float",18000,"6,315648","1846,841358"
"float",18000,"6,318568","1845,987831"
"float",19000,"8,389835","1635,073787"
"float",19000,"8,673728","1581,557613"
"float",19000,"8,6292","1589,718692"
"float",19000,"8,957618","1531,433965"
"float",19000,"8,62384","1590,706745"
"float",19000,"8,433967","1626,518181"
"float",19000,"8,373512","1638,261212"
"float",19000,"8,69441","1577,795322"
"float",19000,"6,885582","1992,27897"
"float",19000,"8,464734","1620,606165"
"float",20000,"7,128353","2244,55772"
"float",20000,"7,56937","2113,782234"
"float",20000,"5,255542","3044,40535"
"float",20000,"7,663016","2087,950834"
"float",20000,"5,839413","2740,001345"
"float",20000,"6,246693","2561,355365"
"float",20000,"4,99318","3204,370604"
"float",20000,"5,502477","2907,781301"
"float",20000,"7,655565","2089,982828"
"float",20000,"7,596502","2106,232454"
