"type","size","time","Gflops"
"float",2000,"0,058175","275,029914"
"float",2000,"0,042093","380,10994"
"float",2000,"0,040251","397,50421"
"float",2000,"0,041561","384,975133"
"float",2000,"0,042124","379,830407"
"float",2000,"0,042694","374,760876"
"float",2000,"0,041462","385,892345"
"float",2000,"0,043434","368,374149"
"float",2000,"0,043583","367,119729"
"float",2000,"0,040128","398,723447"
"float",3000,"0,064252","840,443577"
"float",3000,"0,065003","830,725292"
"float",3000,"0,06466","835,13608"
"float",3000,"0,064793","833,422695"
"float",3000,"0,065281","827,197177"
"float",3000,"0,064469","837,610927"
"float",3000,"0,065137","829,025395"
"float",3000,"0,064598","835,934599"
"float",3000,"0,066339","814,000654"
"float",3000,"0,067011","805,837571"
"float",4000,"0,095968","1333,779635"
"float",4000,"0,097254","1316,13661"
"float",4000,"0,096007","1333,230966"
"float",4000,"0,095794","1336,205605"
"float",4000,"0,0971","1318,232282"
"float",4000,"0,096615","1324,850001"
"float",4000,"0,095229","1344,133333"
"float",4000,"0,099151","1290,961906"
"float",4000,"0,09339","1370,59249"
"float",4000,"0,096817","1322,082535"
"float",5000,"0,146946","1701,306503"
"float",5000,"0,149988","1666,801633"
"float",5000,"0,14982","1668,670194"
"float",5000,"0,152725","1636,932454"
"float",5000,"0,15544","1608,332883"
"float",5000,"0,161996","1543,248496"
"float",5000,"0,152076","1643,913188"
"float",5000,"0,16086","1554,144859"
"float",5000,"0,155093","1611,93411"
"float",5000,"0,158668","1575,621768"
"float",6000,"0,237036","1822,505229"
"float",6000,"0,24525","1761,465972"
"float",6000,"0,250427","1725,0521"
"float",6000,"0,248542","1738,137108"
"float",6000,"0,257023","1680,782065"
"float",6000,"0,25792","1674,936205"
"float",6000,"0,261616","1651,272305"
"float",6000,"0,254762","1695,703143"
"float",6000,"0,263582","1638,957094"
"float",6000,"0,261299","1653,28125"
"float",7000,"0,43522","1576,213394"
"float",7000,"0,436942","1570,00165"
"float",7000,"0,444364","1543,77891"
"float",7000,"0,441859","1552,530775"
"float",7000,"0,434704","1578,083989"
"float",7000,"0,439525","1560,774683"
"float",7000,"0,442427","1550,538547"
"float",7000,"0,436673","1570,968682"
"float",7000,"0,445201","1540,876696"
"float",7000,"0,480349","1428,12837"
"float",8000,"0,709463","1443,344222"
"float",8000,"0,697347","1468,423414"
"float",8000,"0,704088","1454,364392"
"float",8000,"0,695683","1471,934572"
"float",8000,"0,713599","1434,98015"
"float",8000,"0,701659","1459,398379"
"float",8000,"0,708124","1446,074186"
"float",8000,"0,701888","1458,922936"
"float",8000,"0,704749","1453,000556"
"float",8000,"0,706373","1449,659474"
"float",9000,"1,101851","1323,227717"
"float",9000,"1,087616","1340,547096"
"float",9000,"1,097318","1328,694631"
"float",9000,"1,091453","1335,83423"
"float",9000,"1,093157","1333,75204"
"float",9000,"1,102612","1322,31517"
"float",9000,"1,06756","1365,730678"
"float",9000,"1,098122","1327,721793"
"float",9000,"1,090942","1336,460102"
"float",9000,"1,088397","1339,584571"
"float",10000,"1,554813","1286,32844"
"float",10000,"1,563402","1279,261412"
"float",10000,"1,557823","1283,842541"
"float",10000,"1,533578","1304,139443"
"float",10000,"1,568686","1274,952463"
"float",10000,"1,55294","1287,879467"
"float",10000,"1,576689","1268,48085"
"float",10000,"1,550427","1289,967376"
"float",10000,"1,541106","1297,768881"
"float",10000,"1,540043","1298,665054"
"float",11000,"2,179111","1221,599352"
"float",11000,"2,147615","1239,51464"
"float",11000,"2,148054","1239,261346"
"float",11000,"2,150312","1237,959829"
"float",11000,"2,136065","1246,216717"
"float",11000,"2,146032","1240,42862"
"float",11000,"2,162172","1231,169549"
"float",11000,"2,122347","1254,272069"
"float",11000,"2,180741","1220,685945"
"float",11000,"2,161949","1231,296224"
"float",12000,"2,791552","1238,020831"
"float",12000,"2,413489","1431,951832"
"float",12000,"2,801707","1233,533683"
"float",12000,"2,749251","1257,069638"
"float",12000,"2,787554","1239,796446"
"float",12000,"2,787665","1239,747464"
"float",12000,"2,72984","1266,008114"
"float",12000,"2,701224","1279,420091"
"float",12000,"2,774552","1245,60645"
"float",12000,"2,765685","1249,600108"
"float",13000,"3,657359","1201,413471"
"float",13000,"3,702423","1186,790324"
"float",13000,"3,722245","1180,470323"
"float",13000,"3,380258","1299,900891"
"float",13000,"2,743896","1601,372628"
"float",13000,"2,72977","1609,659341"
"float",13000,"3,725391","1179,47363"
"float",13000,"3,381944","1299,252638"
"float",13000,"3,521442","1247,784286"
"float",13000,"3,666709","1198,349747"
"float",14000,"4,336158","1265,636668"
"float",14000,"4,161462","1318,767204"
"float",14000,"4,355281","1260,079494"
"float",14000,"4,149873","1322,450209"
"float",14000,"4,124607","1330,550853"
"float",14000,"2,935882","1869,284633"
"float",14000,"4,3553","1260,074015"
"float",14000,"3,748319","1464,12296"
"float",14000,"4,035267","1360,009163"
"float",14000,"4,065485","1349,900305"
"float",15000,"4,871652","1385,566844"
"float",15000,"4,203257","1605,897378"
"float",15000,"4,854443","1390,478724"
"float",15000,"4,798677","1406,637669"
"float",15000,"4,714414","1431,779239"
"float",15000,"4,710675","1432,915561"
"float",15000,"5,075475","1329,924736"
"float",15000,"5,150605","1310,525556"
"float",15000,"4,972863","1357,366959"
"float",15000,"4,83411","1396,327314"
"float",16000,"6,609635","1239,402808"
"float",16000,"6,550256","1250,638199"
"float",16000,"5,854312","1399,310474"
"float",16000,"6,610783","1239,187606"
"float",16000,"4,797949","1707,396197"
"float",16000,"6,513487","1257,698013"
"float",16000,"6,556696","1249,409745"
"float",16000,"6,117829","1339,037063"
"float",16000,"6,566501","1247,544215"
"float",16000,"6,517912","1256,844237"
"float",17000,"6,749716","1455,764889"
"float",17000,"7,793587","1260,780238"
"float",17000,"7,760415","1266,169403"
"float",17000,"7,055827","1392,607747"
"float",17000,"6,561142","1497,605106"
"float",17000,"7,708025","1274,775267"
"float",17000,"7,710718","1274,330038"
"float",17000,"7,206869","1363,421531"
"float",17000,"7,702998","1275,607243"
"float",17000,"7,086534","1386,573432"
"float",18000,"4,57193","2551,219957"
"float",18000,"4,801028","2429,479739"
"float",18000,"4,781507","2439,398279"
"float",18000,"4,677522","2493,628291"
"float",18000,"4,839607","2410,112898"
"float",18000,"8,310677","1403,495782"
"float",18000,"5,36301","2174,89792"
"float",18000,"4,841608","2409,116792"
"float",18000,"4,735027","2463,343864"
"float",18000,"5,236103","2227,611021"
"float",19000,"10,371577","1322,653211"
"float",19000,"7,827461","1752,547967"
"float",19000,"7,799035","1758,935539"
"float",19000,"10,491491","1307,535776"
"float",19000,"7,923025","1731,409437"
"float",19000,"7,635584","1796,588253"
"float",19000,"8,476824","1618,294709"
"float",19000,"7,729335","1774,79685"
"float",19000,"7,888981","1738,881089"
"float",19000,"5,26957","2603,248242"
"float",20000,"6,041215","2648,473749"
"float",20000,"5,900748","2711,520725"
"float",20000,"6,040263","2648,891346"
"float",20000,"5,810965","2753,415115"
"float",20000,"5,965701","2681,998393"
"float",20000,"6,172591","2592,10422"
"float",20000,"6,029932","2653,429645"
"float",20000,"5,805663","2755,929932"
"float",20000,"6,307589","2536,626777"
"float",20000,"5,765749","2775,007891"
