"type","size","time","Gflops"
"float",2000,"0,030236","529,178873"
"float",2000,"0,052693","303,647397"
"float",2000,"0,032289","495,518055"
"float",2000,"0,032333","494,851059"
"float",2000,"0,031765","503,693569"
"float",2000,"0,031765","503,696534"
"float",2000,"0,032554","491,49701"
"float",2000,"0,033015","484,632456"
"float",2000,"0,033281","480,754929"
"float",2000,"0,040144","398,562713"
"float",3000,"0,075219","717,906928"
"float",3000,"0,074594","723,918503"
"float",3000,"0,076276","707,957576"
"float",3000,"0,076574","705,201783"
"float",3000,"0,075408","716,100109"
"float",3000,"0,0755","715,230803"
"float",3000,"0,076946","701,795372"
"float",3000,"0,076818","702,958734"
"float",3000,"0,07689","702,299779"
"float",3000,"0,076542","705,496709"
"float",4000,"0,13617","939,999177"
"float",4000,"0,136538","937,466921"
"float",4000,"0,139652","916,562488"
"float",4000,"0,139802","915,582663"
"float",4000,"0,137199","932,954113"
"float",4000,"0,1398","915,596089"
"float",4000,"0,141321","905,738128"
"float",4000,"0,141673","903,487732"
"float",4000,"0,137226","932,767952"
"float",4000,"0,140011","914,215183"
"float",5000,"0,255249","979,434255"
"float",5000,"0,255543","978,309363"
"float",5000,"0,267276","935,364296"
"float",5000,"0,269185","928,730179"
"float",5000,"0,261521","955,944382"
"float",5000,"0,259522","963,311188"
"float",5000,"0,27107","922,269581"
"float",5000,"0,269097","929,033257"
"float",5000,"0,27016","925,376455"
"float",5000,"0,274104","912,062136"
"float",6000,"0,449706","960,62724"
"float",6000,"0,457009","945,276021"
"float",6000,"0,480184","899,655533"
"float",6000,"0,456138","947,082705"
"float",6000,"0,463595","931,847347"
"float",6000,"0,477334","905,026102"
"float",6000,"0,478791","902,273255"
"float",6000,"0,469218","920,681063"
"float",6000,"0,480392","899,266276"
"float",6000,"0,470055","919,041207"
"float",7000,"0,717736","955,783647"
"float",7000,"0,726518","944,229994"
"float",7000,"0,720046","952,716699"
"float",7000,"0,716785","957,051063"
"float",7000,"0,741435","925,232757"
"float",7000,"0,736888","930,941421"
"float",7000,"0,728579","941,559071"
"float",7000,"0,730883","938,591116"
"float",7000,"0,725516","945,534416"
"float",7000,"0,735686","932,463284"
"float",8000,"0,997102","1026,975841"
"float",8000,"1,011254","1012,603826"
"float",8000,"1,007235","1016,644377"
"float",8000,"0,998891","1025,137037"
"float",8000,"0,996896","1027,18828"
"float",8000,"1,029022","995,120102"
"float",8000,"1,005246","1018,656358"
"float",8000,"0,996955","1027,127831"
"float",8000,"1,003719","1020,205723"
"float",8000,"0,995159","1028,981227"
"float",9000,"1,382952","1054,266323"
"float",9000,"1,409117","1034,690285"
"float",9000,"1,409308","1034,550012"
"float",9000,"1,379971","1056,543816"
"float",9000,"1,384499","1053,088189"
"float",9000,"1,388779","1049,843396"
"float",9000,"1,367447","1066,22085"
"float",9000,"1,390561","1048,497423"
"float",9000,"1,378454","1057,707012"
"float",9000,"1,366283","1067,128569"
"float",10000,"1,794607","1114,449998"
"float",10000,"1,771387","1129,058755"
"float",10000,"1,743671","1147,005078"
"float",10000,"1,733364","1153,825729"
"float",10000,"1,776048","1126,095975"
"float",10000,"1,758172","1137,544812"
"float",10000,"1,758291","1137,468249"
"float",10000,"1,718425","1163,856354"
"float",10000,"1,740933","1148,809128"
"float",10000,"1,727475","1157,759311"
"float",11000,"2,429078","1095,889035"
"float",11000,"2,421517","1099,310662"
"float",11000,"2,373298","1121,645684"
"float",11000,"2,388086","1114,700152"
"float",11000,"2,45545","1084,118817"
"float",11000,"2,523864","1054,731982"
"float",11000,"2,409788","1104,661327"
"float",11000,"2,368721","1123,813466"
"float",11000,"2,498243","1065,54878"
"float",11000,"2,430498","1095,248972"
"float",12000,"2,832372","1220,178599"
"float",12000,"2,56665","1346,502279"
"float",12000,"2,865794","1205,948595"
"float",12000,"2,805032","1232,07142"
"float",12000,"2,73732","1262,548685"
"float",12000,"2,774905","1245,448027"
"float",12000,"2,866605","1205,607317"
"float",12000,"2,810928","1229,487319"
"float",12000,"2,826658","1222,645049"
"float",12000,"2,822764","1224,331801"
"float",13000,"3,36419","1306,109507"
"float",13000,"3,364983","1305,801667"
"float",13000,"3,361444","1307,176295"
"float",13000,"3,37172","1303,192353"
"float",13000,"2,871979","1529,955366"
"float",13000,"3,456235","1271,325549"
"float",13000,"3,389534","1296,343309"
"float",13000,"3,361517","1307,147955"
"float",13000,"3,43334","1279,803169"
"float",13000,"3,427362","1282,035748"
"float",14000,"3,022089","1815,962405"
"float",14000,"3,935206","1394,590371"
"float",14000,"3,899481","1407,366718"
"float",14000,"3,895724","1408,72407"
"float",14000,"3,918381","1400,578409"
"float",14000,"3,930957","1396,097773"
"float",14000,"3,929093","1396,760077"
"float",14000,"4,048733","1355,485706"
"float",14000,"3,894499","1409,167198"
"float",14000,"3,94852","1389,887865"
"float",15000,"4,480707","1506,458754"
"float",15000,"4,484582","1505,156886"
"float",15000,"4,455665","1514,925354"
"float",15000,"4,473317","1508,947516"
"float",15000,"4,515806","1494,7498"
"float",15000,"4,158802","1623,063518"
"float",15000,"3,431986","1966,791253"
"float",15000,"4,556309","1481,46234"
"float",15000,"4,46058","1513,256213"
"float",15000,"4,614426","1462,803765"
"float",16000,"5,586382","1466,423119"
"float",16000,"5,597471","1463,518085"
"float",16000,"5,696182","1438,156328"
"float",16000,"5,654878","1448,660665"
"float",16000,"5,651979","1449,40379"
"float",16000,"5,814722","1408,837752"
"float",16000,"5,637059","1453,240132"
"float",16000,"5,219071","1569,628066"
"float",16000,"5,553622","1475,073453"
"float",16000,"5,684548","1441,099538"
"float",17000,"6,859617","1432,441467"
"float",17000,"6,669911","1473,18317"
"float",17000,"6,680437","1470,861783"
"float",17000,"6,751111","1455,464069"
"float",17000,"6,842861","1435,949069"
"float",17000,"6,770349","1451,328507"
"float",17000,"6,743499","1457,107122"
"float",17000,"6,761127","1453,307915"
"float",17000,"6,699118","1466,760336"
"float",17000,"6,746065","1456,552736"
"float",18000,"6,486987","1798,061307"
"float",18000,"6,289361","1854,560435"
"float",18000,"5,920637","1970,058361"
"float",18000,"6,325942","1843,836064"
"float",18000,"6,275548","1858,642459"
"float",18000,"4,775997","2442,212481"
"float",18000,"6,500128","1794,426323"
"float",18000,"5,47104","2131,953014"
"float",18000,"6,374164","1829,886973"
"float",18000,"6,135865","1900,954319"
"float",19000,"8,669349","1582,356429"
"float",19000,"8,458345","1621,830291"
"float",19000,"8,593348","1596,351052"
"float",19000,"6,901382","1987,717822"
"float",19000,"9,057186","1514,598421"
"float",19000,"8,370135","1638,922269"
"float",19000,"8,642887","1587,201126"
"float",19000,"7,678395","1786,571192"
"float",19000,"8,561251","1602,33588"
"float",19000,"7,409653","1851,368639"
"float",20000,"7,609582","2102,612149"
"float",20000,"6,825621","2344,108937"
"float",20000,"7,197373","2223,033454"
"float",20000,"9,843739","1625,39857"
