"type","size","time","Gflops"
"float",2000,"0,025957","616,403055"
"float",2000,"0,024769","645,962649"
"float",2000,"0,025766","620,978823"
"float",2000,"0,024583","650,850564"
"float",2000,"0,026416","605,691868"
"float",2000,"0,025703","622,490536"
"float",2000,"0,025422","629,385762"
"float",2000,"0,025497","627,516562"
"float",2000,"0,025346","631,25557"
"float",2000,"0,025835","619,312006"
"float",3000,"0,044751","1206,67185"
"float",3000,"0,041579","1298,723912"
"float",3000,"0,04628","1166,808423"
"float",3000,"0,044329","1218,153025"
"float",3000,"0,044925","1202,000075"
"float",3000,"0,043441","1243,072518"
"float",3000,"0,043008","1255,586488"
"float",3000,"0,044755","1206,574571"
"float",3000,"0,046597","1158,880101"
"float",3000,"0,043198","1250,051333"
"float",4000,"0,074555","1716,858488"
"float",4000,"0,079352","1613,069879"
"float",4000,"0,075338","1699,015659"
"float",4000,"0,069384","1844,8075"
"float",4000,"0,079631","1607,411836"
"float",4000,"0,07556","1694,019837"
"float",4000,"0,080024","1599,514447"
"float",4000,"0,075978","1684,696096"
"float",4000,"0,078692","1626,585441"
"float",4000,"0,078222","1636,366465"
"float",5000,"0,120769","2070,062233"
"float",5000,"0,122852","2034,963655"
"float",5000,"0,121404","2059,242156"
"float",5000,"0,118766","2104,977023"
"float",5000,"0,120442","2075,692519"
"float",5000,"0,126729","1972,710595"
"float",5000,"0,122772","2036,303098"
"float",5000,"0,1211","2064,411812"
"float",5000,"0,12072","2070,912552"
"float",5000,"0,121128","2063,929932"
"float",6000,"0,216965","1991,107566"
"float",6000,"0,233829","1847,501575"
"float",6000,"0,245843","1757,219524"
"float",6000,"0,242167","1783,89132"
"float",6000,"0,22628","1909,138748"
"float",6000,"0,228219","1892,917823"
"float",6000,"0,233532","1849,852967"
"float",6000,"0,24143","1789,337302"
"float",6000,"0,224406","1925,078117"
"float",6000,"0,231804","1863,646663"
"float",7000,"0,486096","1411,243858"
"float",7000,"0,467858","1466,255455"
"float",7000,"0,477319","1437,194467"
"float",7000,"0,470524","1457,948266"
"float",7000,"0,483636","1418,421424"
"float",7000,"0,469936","1459,772665"
"float",7000,"0,46844","1464,434928"
"float",7000,"0,491355","1396,13785"
"float",7000,"0,468591","1463,963609"
"float",7000,"0,510912","1342,696164"
"float",8000,"0,804084","1273,498141"
"float",8000,"0,802483","1276,038963"
"float",8000,"0,808353","1266,77359"
"float",8000,"0,802865","1275,432264"
"float",8000,"0,795635","1287,021562"
"float",8000,"0,804767","1272,418452"
"float",8000,"0,805568","1271,152185"
"float",8000,"0,81004","1264,135339"
"float",8000,"0,80841","1266,684328"
"float",8000,"0,826173","1239,449852"
"float",9000,"1,209023","1205,931997"
"float",9000,"1,204266","1210,69614"
"float",9000,"1,210726","1204,236463"
"float",9000,"1,202514","1212,460255"
"float",9000,"1,202137","1212,84025"
"float",9000,"1,216841","1198,184013"
"float",9000,"1,203133","1211,836172"
"float",9000,"1,202552","1212,421375"
"float",9000,"1,205249","1209,708254"
"float",9000,"1,204151","1210,811504"
"float",10000,"1,6481","1213,518351"
"float",10000,"1,60536","1245,826212"
"float",10000,"1,630208","1226,837185"
"float",10000,"1,650623","1211,6636"
"float",10000,"1,650645","1211,647877"
"float",10000,"1,618529","1235,690297"
"float",10000,"1,637606","1221,294778"
"float",10000,"1,65106","1211,342865"
"float",10000,"1,647571","1213,908149"
"float",10000,"1,628513","1228,114371"
"float",11000,"2,053434","1296,365199"
"float",11000,"1,983465","1342,095529"
"float",11000,"2,057988","1293,496315"
"float",11000,"2,065952","1288,510013"
"float",11000,"2,06752","1287,532999"
"float",11000,"2,055569","1295,018624"
"float",11000,"2,073082","1284,078464"
"float",11000,"2,04633","1300,865525"
"float",11000,"1,992225","1336,194653"
"float",11000,"1,999219","1331,52002"
"float",12000,"2,391395","1445,181678"
"float",12000,"2,424068","1425,702353"
"float",12000,"2,616974","1320,60919"
"float",12000,"2,626405","1315,867273"
"float",12000,"2,40072","1439,567977"
"float",12000,"2,61782","1320,18261"
"float",12000,"2,415915","1430,513665"
"float",12000,"2,624481","1316,831949"
"float",12000,"2,397317","1441,611888"
"float",12000,"2,397922","1441,24785"
"float",13000,"2,782043","1579,414845"
"float",13000,"3,294754","1333,635205"
"float",13000,"2,772769","1584,697404"
"float",13000,"3,31016","1327,428301"
"float",13000,"3,28798","1336,382909"
"float",13000,"2,777773","1581,842932"
"float",13000,"3,291291","1335,038597"
"float",13000,"2,759239","1592,468104"
"float",13000,"3,308944","1327,915972"
"float",13000,"3,292292","1334,632671"
"float",14000,"4,161255","1318,832907"
"float",14000,"4,135385","1327,083306"
"float",14000,"4,150083","1322,383293"
"float",14000,"4,176505","1314,017194"
"float",14000,"4,132647","1327,962391"
"float",14000,"4,143438","1324,504078"
"float",14000,"4,151395","1321,965153"
"float",14000,"4,132104","1328,136975"
"float",14000,"4,152395","1321,646919"
"float",14000,"4,132835","1327,901955"
"float",15000,"5,080107","1328,712164"
"float",15000,"5,126684","1316,640622"
"float",15000,"5,105291","1322,157797"
"float",15000,"5,106372","1321,877856"
"float",15000,"5,108746","1321,263449"
"float",15000,"5,090555","1325,985009"
